polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 4*x^4 + x^3 + 7*x^2 - 2*x + 1,-27/2,-57/2,33/2,45,-21/2,-93/2,27/2,3/2,0,A5,2862864
x^5 + 4*x^4 + x^3 + 8*x^2 - 2*x + 1,-16,-63/2,39,47,-33/2,-54,27/2,1/2,0,A5,5058001
x^5 + 4*x^4 + 7*x^3 + 7*x^2 - 5*x + 1,15/2,-105,66,213,213/2,-21/2,-3/2,3/2,0,A5,1896129
x^5 + 4*x^4 + 8*x^3 + 7*x^2 - 5*x + 1,15/2,-225/2,147/2,227,129,-9/2,-4,1/2,0,A5,1779556
x^5 + 5*x^4 - 3*x^3 + 2*x^2 - x + 1,-4,39/2,-147/2,-2,27/2,-75/2,65/2,1/2,0,A5,1006009
x^5 + 5*x^4 - x^3 + 8*x^2 + x + 1,-19,39/2,45/2,-76,-147/2,-135/2,55/2,1/2,0,A5,9090225
x^5 + 5*x^4 + 3*x^3 + 3*x^2 + x + 1,-13/2,-18,-66,-42,-24,0,35/2,1/2,1,A5,144400
x^5 + 5*x^4 + 4*x^3 + 3*x^2 + x + 1,-13/2,-51/2,-135/2,-36,-27/2,15/2,15,1/2,0,A5,126025
x^5 + 5*x^4 + 4*x^3 + 4*x^2 + x + 1,-9,-24,-57,-28,-21,0,15,1,1,A5,73984
x^5 + 5*x^4 + 4*x^3 + 7*x^2 - x + 1,-33/2,-81/2,9/2,66,-27/2,-45/2,15,3/2,0,A5,3470769
x^5 + 5*x^4 + 7*x^3 + 9*x^2 + x + 1,-43/2,-39,36,66,-9,-15,15/2,1/2,0,A5,1915456
x^5 + 5*x^4 + 8*x^3 + 8*x^2 + x + 1,-19,-48,9,68,21,0,5,1,1,A5,518400
x^5 + 6*x^4 - x^3 + 5*x^2 - x + 1,-23/2,0,-54,7,-57/2,-93/2,77/2,1/2,1,A5,198025
x^5 + 7*x^4 - 5*x^3 - 9*x^2 + 4*x + 1,77/2,-33/2,93/2,-131,72,15,123/2,1/2,0,A5,30991489
x^5 + 8*x^4 - 9*x^3 - 3*x^2 + 3*x + 1,33/2,54,-66,-139,225/2,-171/2,173/2,1/2,0,A5,889249
x^5 + 8*x^4 + 5*x^3 + 5*x^2 + 3*x + 1,-7/2,-15,-105,-143,-135/2,45/2,103/2,1/2,0,A5,2002225
x^5 + 8*x^4 + 7*x^3 + 4*x^2 - 4*x + 1,6,-153/2,-54,255,171/2,54,93/2,3/2,0,A5,21316689
x^5 + 8*x^4 + 9*x^3 + 9*x^2 + x + 1,-43/2,-54,-12,81,-3/2,81/2,83/2,1/2,0,A5,10686361
x^5 + 9*x^4 - 8*x^3 + x + 1,1,60,-123,-88,81,-108,101,1,0,A5,28558336
x^5 + 9*x^4 - 8*x^3 + 8*x^2 - 3*x + 1,-11,24,-75,36,33,-168,101,1,0,A5,473344
x^5 + 9*x^4 + x^3 - 4*x^2 - x + 1,11,-3/2,-219/2,30,141/2,87/2,157/2,1/2,0,A5,2706025
x^5 + 9*x^4 + x^3 + 2*x^2 + x + 1,-4,-9/2,-261/2,-84,-81/2,-3/2,157/2,1/2,0,A5,11826721
x^5 + 9*x^4 + x^3 + 8*x^2 - 5*x + 1,5,-135/2,-63/2,306,-63/2,-93/2,157/2,1/2,0,A5,60918025
x^5 + 9*x^4 + 4*x^3 + x + 1,1,-30,-141,-88,9,54,71,1,0,A5,6310144
x^5 + 9*x^4 + 5*x^3 - x^2 + x + 1,7/2,-39,-141,-98,36,75,137/2,1/2,0,A5,462400
x^5 + 9*x^4 + 9*x^3 - 10*x^2 - 2*x + 1,29,-75/2,42,-79,573/2,393/2,117/2,1/2,0,A5,49084036
x^5 + 10*x^4 - 3*x^3 + x^2 + 3*x + 1,13/2,27,-135,-241,-93/2,-105/2,215/2,1/2,0,A5,38353249
