polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 9*x + 1,-1113,2428,3135,1440,1,0,S5,-44135392975
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 10*x + 1,-1440,2724,3540,1725,3,0,S5,-58210380892
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 11*x + 1,-1827,3048,3975,2040,3,0,S5,-75728279263
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 12*x + 1,-2280,3400,4440,2385,5,0,S5,-97250921908
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 13*x + 1,-2805,3780,4935,2760,15,0,S5,-123385932607
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 14*x + 1,-3408,4188,5460,3165,3,0,S5,-154786694380
x^5 - 15*x^4 - 15*x^3 - 14*x^2 + 15*x + 1,-4095,4624,6015,3600,1,0,S5,-192152318767
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 15*x + 1,4275,3391,2355,3600,1,0,S5,-86386836544
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 14*x + 1,3592,3044,2040,3165,1,0,S5,-66424513655
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 12*x + 1,2472,2428,1500,2385,1,0,S5,-37464016399
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 11*x + 1,2023,2159,1275,2040,17,0,S5,-27406190912
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 10*x + 1,1640,1916,1080,1725,1,0,S5,-19667612919
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 9*x + 1,1317,1699,915,1440,1,0,S5,-13834510000
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 8*x + 1,1048,1508,780,1185,1,0,S5,-9539475695
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 7*x + 1,827,1343,675,960,1,0,S5,-6461438784
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 6*x + 1,648,1204,600,765,1,0,S5,-4325632567
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 5*x + 1,505,1091,555,600,1,0,S5,-2903564144
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 4*x + 1,392,1004,540,465,1,0,S5,-2012983695
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 3*x + 1,303,943,555,360,1,0,S5,-1517853760
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - 2*x + 1,232,908,600,285,1,0,S5,-1328318519
x^5 - 15*x^4 - 15*x^3 - 13*x^2 - x + 1,173,899,675,240,1,0,S5,-1400673072
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 1,120,916,780,225,1,0,S5,-1737332719
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + x + 1,67,959,915,240,1,0,S5,-2386802240
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 2*x + 1,8,1028,1080,285,1,0,S5,-3443645175
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 3*x + 1,-63,1123,1275,360,1,0,S5,-5048453104
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 4*x + 1,-152,1244,1500,465,1,0,S5,-7387814927
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 5*x + 1,-265,1391,1755,600,1,0,S5,-10694286144
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 6*x + 1,-408,1564,2040,765,17,0,S5,-15246358135
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 7*x + 1,-587,1763,2355,960,1,0,S5,-21368427440
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 8*x + 1,-808,1988,2700,1185,1,0,S5,-29430765039
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 9*x + 1,-1077,2239,3075,1440,1,0,S5,-39849485632
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 10*x + 1,-1400,2516,3480,1725,1,0,S5,-53086516919
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 11*x + 1,-1783,2819,3915,2040,1,0,S5,-69649568880
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 12*x + 1,-2232,3148,4380,2385,1,0,S5,-90092103055
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 13*x + 1,-2753,3503,4875,2760,1,0,S5,-115013301824
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 14*x + 1,-3352,3884,5400,3165,1,0,S5,-145058037687
x^5 - 15*x^4 - 15*x^3 - 13*x^2 + 15*x + 1,-4035,4291,5955,3600,1,0,S5,-180916842544
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 15*x + 1,4215,3066,2295,3600,3,0,S5,-87944325631
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 14*x + 1,3536,2748,1980,3165,1,0,S5,-67595059512
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 13*x + 1,2941,2454,1695,2760,1,0,S5,-51150232487
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 11*x + 1,1979,1938,1215,2040,1,0,S5,-27781381119
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 10*x + 1,1600,1716,1020,1725,1,0,S5,-19877041256
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 9*x + 1,1281,1518,855,1440,3,0,S5,-13916448007
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 8*x + 1,1016,1344,720,1185,1,0,S5,-9525247152
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 7*x + 1,799,1194,615,960,1,0,S5,-6375350591
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 6*x + 1,624,1068,540,765,3,0,S5,-4184905624
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 5*x + 1,485,966,495,600,1,0,S5,-2718264231
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 4*x + 1,376,888,480,465,1,0,S5,-1785952352
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 3*x + 1,291,834,495,360,3,0,S5,-1244639167
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - 2*x + 1,224,804,540,285,1,0,S5,-997106376
x^5 - 15*x^4 - 15*x^3 - 12*x^2 - x + 1,169,798,615,240,1,0,S5,-992217479
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 1,120,816,720,225,3,0,S5,-1224887056
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + x + 1,71,858,855,240,1,0,S5,-1736050047
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 2*x + 1,16,924,1020,285,1,0,S5,-2612631032
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 3*x + 1,-51,1014,1215,360,3,0,S5,-3987513511
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 4*x + 1,-136,1128,1440,465,1,0,S5,-6039509184
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 5*x + 1,-245,1266,1695,600,1,0,S5,-8993327231
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 6*x + 1,-384,1428,1980,765,3,0,S5,-13119543592
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 7*x + 1,-559,1614,2295,960,1,0,S5,-18734570247
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 8*x + 1,-776,1824,2640,1185,1,0,S5,-26200624496
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 9*x + 1,-1041,2058,3015,1440,3,0,S5,-35925698239
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 10*x + 1,-1360,2316,3420,1725,1,0,S5,-48363527256
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 11*x + 1,-1739,2598,3855,2040,1,0,S5,-64013560487
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 12*x + 1,-2184,2904,4320,2385,3,0,S5,-83420929312
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 13*x + 1,-2701,3234,4815,2760,1,0,S5,-107176416831
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 14*x + 1,-3296,3588,5340,3165,1,0,S5,-135916427144
x^5 - 15*x^4 - 15*x^3 - 12*x^2 + 15*x + 1,-3975,3966,5895,3600,3,0,S5,-170322954631
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 15*x + 1,4155,2749,2235,3600,1,0,S5,-89701519408
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 14*x + 1,3480,2460,1920,3165,15,0,S5,-68946140239
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 13*x + 1,2889,2193,1635,2760,3,0,S5,-52162407184
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 12*x + 1,2376,1948,1380,2385,1,0,S5,-38783965183
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 10*x + 1,1560,1524,960,1725,3,0,S5,-20209102783
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 9*x + 1,1245,1345,795,1440,5,0,S5,-14111448784
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 8*x + 1,984,1188,660,1185,3,0,S5,-9616557199
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 7*x + 1,771,1053,555,960,3,0,S5,-6389365168
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 6*x + 1,600,940,480,765,5,0,S5,-4140976111
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 5*x + 1,465,849,435,600,3,0,S5,-2628629008
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 4*x + 1,360,780,420,465,15,0,S5,-1655667679
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 3*x + 1,279,733,435,360,1,0,S5,-1071510064
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - 2*x + 1,216,708,480,285,3,0,S5,-771617503
x^5 - 15*x^4 - 15*x^3 - 11*x^2 - x + 1,165,705,555,240,15,0,S5,-697464016
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 1,120,724,660,225,1,0,S5,-836505583
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + x + 1,75,765,795,240,15,0,S5,-1222149424
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 2*x + 1,24,828,960,285,3,0,S5,-1933723279
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 3*x + 1,-39,913,1155,360,1,0,S5,-3096444688
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 4*x + 1,-120,1020,1380,465,15,0,S5,-4881390271
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 5*x + 1,-225,1149,1635,600,3,0,S5,-7505465008
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 6*x + 1,-360,1300,1920,765,5,0,S5,-11231371519
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 7*x + 1,-531,1473,2235,960,3,0,S5,-16367579344
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 8*x + 1,-744,1668,2580,1185,3,0,S5,-23268294223
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 9*x + 1,-1005,1885,2955,1440,5,0,S5,-32333427376
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 10*x + 1,-1320,2124,3360,1725,3,0,S5,-44008564783
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 11*x + 1,-1695,2385,3795,2040,15,0,S5,-58784936464
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 12*x + 1,-2136,2668,4260,2385,1,0,S5,-77199385759
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 13*x + 1,-2649,2973,4755,2760,3,0,S5,-99834338608
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 14*x + 1,-3240,3300,5280,3165,15,0,S5,-127317772831
x^5 - 15*x^4 - 15*x^3 - 11*x^2 + 15*x + 1,-3915,3649,5835,3600,1,0,S5,-160323187408
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 15*x + 1,4095,2440,2175,3600,5,0,S5,-91615609375
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 14*x + 1,3424,2180,1860,3165,1,0,S5,-70438128044
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 13*x + 1,2837,1940,1575,2760,1,0,S5,-53301109983
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 12*x + 1,2328,1720,1320,2385,1,0,S5,-39631613092
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 11*x + 1,1891,1520,1095,2040,1,0,S5,-28902946031
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 9*x + 1,1209,1180,735,1440,1,0,S5,-14392405519
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 8*x + 1,952,1040,600,1185,1,0,S5,-9788126708
