polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 10*x^3 + 2*x^2 + 10*x + 1,-840,0,840,0,840,2,E(4) = 2[x]2,2822400
x^4 - 9*x^3 + 2*x^2 + 9*x + 1,-585,0,585,0,585,2,E(4) = 2[x]2,1368900
x^4 - 8*x^3 - 10*x^2 + 8*x + 1,-768,1152,768,0,384,1,E(4) = 2[x]2,3686400
x^4 - 8*x^3 - 7*x^2 + 2*x + 1,0,240,240,60,60,1,E(4) = 2[x]2,176400
x^4 - 8*x^3 + 2*x^2 + 8*x + 1,-384,0,384,0,384,2,E(4) = 2[x]2,589824
x^4 - 7*x^3 + 2*x^2 + 7*x + 1,-231,0,231,0,231,2,E(4) = 2[x]2,213444
x^4 - 6*x^3 - 7*x^2 + 6*x + 1,-336,504,336,0,168,1,E(4) = 2[x]2,705600
x^4 - 6*x^3 - 3*x^2 + 6*x + 1,-240,200,240,0,40,1,E(4) = 2[x]2,270400
x^4 - 6*x^3 + 2*x^2 + 6*x + 1,-120,0,120,0,120,2,E(4) = 2[x]2,57600
x^4 - 4*x^3 - 4*x^2 + 4*x + 1,-96,144,96,0,48,1,E(4) = 2[x]2,57600
x^4 - 4*x^3 + 5*x^2 - 2*x + 1,0,48,-48,12,12,1,E(4) = 2[x]2,144
x^4 - 4*x^3 + 8*x^2 - 4*x + 1,-32,80,-32,0,16,1,E(4) = 2[x]2,2304
x^4 - 4*x^3 + 8*x^2 + 4*x + 1,96,144,-96,0,48,1,E(4) = 2[x]2,57600
x^4 - 3*x^3 + 2*x^2 + 3*x + 1,21,0,-21,0,21,2,E(4) = 2[x]2,1764
x^4 - 3*x^3 + 8*x^2 - 3*x + 1,-45,150,-45,0,15,1,E(4) = 2[x]2,14400
x^4 - 3*x^3 + 10*x^2 + 3*x + 1,117,312,-117,0,39,1,E(4) = 2[x]2,152100
x^4 - 2*x^3 - 7*x^2 - 2*x + 1,80,200,80,0,40,1,E(4) = 2[x]2,14400
x^4 - 2*x^3 - 7*x^2 + 8*x + 1,-720,660,120,-60,60,0,E(4) = 2[x]2,176400
x^4 - 2*x^3 + 2*x^2 + 2*x + 1,24,0,-24,0,24,2,E(4) = 2[x]2,2304
x^4 - 2*x^3 + 5*x^2 - 4*x + 1,0,-12,24,-12,12,1,E(4) = 2[x]2,144
x^4 - 2*x^3 + 5*x^2 + 2*x + 1,48,72,-48,0,24,1,E(4) = 2[x]2,14400
x^4 - x^3 + 2*x^2 + x + 1,15,0,-15,0,15,2,E(4) = 2[x]2,900
x^4 - 10*x^2 + 1,0,384,0,0,384,3,E(4) = 2[x]2,147456
x^4 - 9*x^2 + 1,0,308,0,0,308,3,E(4) = 2[x]2,94864
x^4 - 8*x^2 + 1,0,240,0,0,240,3,E(4) = 2[x]2,57600
x^4 - 5*x^2 + 1,0,84,0,0,84,3,E(4) = 2[x]2,7056
x^4 - 4*x^2 + 1,0,48,0,0,48,3,E(4) = 2[x]2,2304
x^4 - x^2 + 1,0,-12,0,0,12,3,E(4) = 2[x]2,144
x^4 + 1,0,-16,0,0,16,3,E(4) = 2[x]2,256
