polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 9*x^3 - 3*x^2 + 9*x + 1,-765,425,765,0,85,1,D(4),2521525
x^4 - 9*x^3 - 2*x^2 - 9*x + 1,873,0,873,0,873,2,D(4),-3048516
x^4 - 9*x^3 - x^2 - 9*x + 1,837,-93,837,0,93,1,D(4),-2793627
x^4 - 9*x^3 - x^2 + 9*x + 1,-693,231,693,0,231,1,D(4),1974357
x^4 - 9*x^3 - 9*x + 1,801,-178,801,0,89,1,D(4),-2534720
x^4 - 9*x^3 + 9*x + 1,-657,146,657,0,73,1,D(4),1747912
x^4 - 9*x^3 + x^2 - 9*x + 1,765,-255,765,0,255,1,D(4),-2275875
x^4 - 9*x^3 + x^2 + 9*x + 1,-621,69,621,0,69,1,D(4),1547325
x^4 - 9*x^3 + 3*x^2 - 9*x + 1,693,-385,693,0,77,1,D(4),-1772771
x^4 - 9*x^3 + 3*x^2 + 9*x + 1,-549,-61,549,0,61,1,D(4),1209325
x^4 - 9*x^3 + 4*x^2 - 9*x + 1,657,-438,657,0,219,1,D(4),-1534752
x^4 - 9*x^3 + 4*x^2 + 9*x + 1,-513,-114,513,0,57,1,D(4),1065672
x^4 - 9*x^3 + 5*x^2 - 9*x + 1,621,-483,621,0,69,1,D(4),-1309275
x^4 - 9*x^3 + 5*x^2 + 9*x + 1,-477,-159,477,0,159,1,D(4),935397
x^4 - 9*x^3 + 6*x^2 - 9*x + 1,585,-520,585,0,65,1,D(4),-1098500
x^4 - 9*x^3 + 6*x^2 + 6*x + 1,0,20,60,45,5,1,D(4),5125
x^4 - 9*x^3 + 7*x^2 - 9*x + 1,549,-549,549,0,549,1,D(4),-904203
x^4 - 9*x^3 + 7*x^2 + 9*x + 1,-405,-225,405,0,45,1,D(4),706725
x^4 - 9*x^3 + 8*x^2 - 9*x + 1,513,-570,513,0,57,1,D(4),-727776
x^4 - 9*x^3 + 8*x^2 + 9*x + 1,-369,-246,369,0,123,1,D(4),605160
