polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 9*x^4 + 4*x^3 + x + 1,1,-30,-141,-88,9,54,71,1,0,A5,6310144
x^5 + 9*x^4 + 5*x^3 - x^2 + x + 1,7/2,-39,-141,-98,36,75,137/2,1/2,0,A5,462400
x^5 + 9*x^4 + 9*x^3 - 10*x^2 - 2*x + 1,29,-75/2,42,-79,573/2,393/2,117/2,1/2,0,A5,49084036
x^5 + 10*x^4 - 3*x^3 + x^2 + 3*x + 1,13/2,27,-135,-241,-93/2,-105/2,215/2,1/2,0,A5,38353249
x^5 - 6*x^4 + 7*x^3 + 8*x^2 - 4*x + 1,-4,-201/2,228,-81,411/2,-123,37/2,1/2,0,D(5) = 5:2,693889
x^5 - 6*x^4 + 9*x^3 + 2*x^2 - 4*x + 1,11,-159/2,150,-157,399/2,-96,27/2,1/2,0,D(5) = 5:2,56169
x^5 - 5*x^4 + 5*x^3 + 5*x^2 + 6*x + 1,47/2,15/2,135/2,235,-15,-75,25/2,1/2,0,D(5) = 5:2,3455881
x^5 - 5*x^4 + 7*x^3 + x + 1,1,-105/2,129/2,10,117/2,-105/2,15/2,1,0,D(5) = 5:2,373321
x^5 - 5*x^4 + 7*x^3 + x^2 - 2*x + 1,3/2,-111/2,195/2,-81,111,-60,15/2,3/2,0,D(5) = 5:2,227529
x^5 - 5*x^4 + 9*x^3 - 3*x^2 - 2*x + 1,23/2,-117/2,231/2,-149,129,-45,5/2,1/2,0,D(5) = 5:2,16129
x^5 - 4*x^4 - 9*x^3 + 4*x + 1,16,135/2,114,87,123/2,54,77/2,1/2,0,D(5) = 5:2,667489
x^5 - 4*x^4 + 2*x^3 + 9*x^2 - 6*x + 1,27/2,-96,399/2,-157,150,-159/2,11,1/2,0,D(5) = 5:2,56169
x^5 - 4*x^4 + 4*x^3 + x^2 + 4*x + 1,27/2,-24,75/2,95,-30,-63/2,6,1/2,0,D(5) = 5:2,693889
x^5 - 4*x^4 + 5*x^3 + 1,0,-75/2,60,-25,75/2,-30,7/2,1/2,1,D(5) = 5:2,95481
x^5 - 4*x^4 + 7*x^3 - 2*x^2 - 2*x + 1,9,-93/2,87,-109,183/2,-27,-3/2,1/2,0,D(5) = 5:2,20449
x^5 - 4*x^4 + 8*x^3 + 7*x^2 - 6*x + 1,37/2,-123,411/2,-81,228,-201/2,-4,1/2,0,D(5) = 5:2,693889
x^5 - 4*x^4 + 9*x^3 - 5*x^2 + 3*x + 1,43/2,-90,57,-31,93/2,-33/2,-13/2,1/2,0,D(5) = 5:2,1306449
x^5 - 3*x^4 - 7*x^3 + x^2 + 4*x + 1,27/2,117/2,177/2,45,18,24,53/2,1/2,0,D(5) = 5:2,160801
x^5 - 6*x^4 + 7*x^3 + 8*x^2 - 4*x + 1,-4,-201/2,228,-81,411/2,-123,37/2,1/2,0,D(5) = 5:2,693889
x^5 - 6*x^4 + 9*x^3 + 2*x^2 - 4*x + 1,11,-159/2,150,-157,399/2,-96,27/2,1/2,0,D(5) = 5:2,56169
x^5 - 5*x^4 + 5*x^3 + 5*x^2 + 6*x + 1,47/2,15/2,135/2,235,-15,-75,25/2,1/2,0,D(5) = 5:2,3455881
x^5 - 5*x^4 + 7*x^3 + x + 1,1,-105/2,129/2,10,117/2,-105/2,15/2,1,0,D(5) = 5:2,373321
x^5 - 5*x^4 + 7*x^3 + x^2 - 2*x + 1,3/2,-111/2,195/2,-81,111,-60,15/2,3/2,0,D(5) = 5:2,227529
x^5 - 5*x^4 + 9*x^3 - 3*x^2 - 2*x + 1,23/2,-117/2,231/2,-149,129,-45,5/2,1/2,0,D(5) = 5:2,16129
x^5 - 4*x^4 - 9*x^3 + 4*x + 1,16,135/2,114,87,123/2,54,77/2,1/2,0,D(5) = 5:2,667489
x^5 - 4*x^4 + 2*x^3 + 9*x^2 - 6*x + 1,27/2,-96,399/2,-157,150,-159/2,11,1/2,0,D(5) = 5:2,56169
x^5 - 4*x^4 + 4*x^3 + x^2 + 4*x + 1,27/2,-24,75/2,95,-30,-63/2,6,1/2,0,D(5) = 5:2,693889
x^5 - 4*x^4 + 5*x^3 + 1,0,-75/2,60,-25,75/2,-30,7/2,1/2,1,D(5) = 5:2,95481
