polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 15*x^2 + 5*x + 5,-305,1409,1235,200,1,0,C(4),5460125
x^4 - 15*x^3 - 6*x^2 + 15*x + 1,-3615,1928,3615,0,241,1,C(4),55990084
x^4 - 15*x^3 + 10*x^2 + 9*x - 1,-249,-156,543,144,3,0,C(4),13284752
x^4 - 15*x^3 + 10*x^2 + 10*x - 5,-480,-316,820,125,1,0,C(4),14706125
x^4 - 15*x^3 - 15*x^2 + 5*x + 5,-305,1409,1235,200,1,0,C(4),5460125
x^4 - 15*x^3 - 6*x^2 + 15*x + 1,-3615,1928,3615,0,241,1,C(4),55990084
x^4 - 15*x^3 + 10*x^2 + 9*x - 1,-249,-156,543,144,3,0,C(4),13284752
x^4 - 15*x^3 + 10*x^2 + 10*x - 5,-480,-316,820,125,1,0,C(4),14706125
x^4 - 14*x^3 - 14*x^2 + 6*x + 1,-440,1440,1240,160,40,0,C(4),11552000
x^4 - 14*x^3 - 6*x^2 + 14*x + 1,-2968,1696,2968,0,424,1,C(4),38112512
x^4 - 14*x^3 + x^2 + 6*x + 1,-80,120,400,160,40,0,C(4),968000
x^4 - 13*x^3 - 6*x^2 + 13*x + 1,-2405,1480,2405,0,185,1,C(4),25326500
x^4 - 13*x^3 + 4*x^2 + 8*x + 1,-280,0,560,105,35,1,C(4),2211125
x^4 - 12*x^3 - 6*x^2 + 12*x + 1,-1920,1280,1920,0,640,1,C(4),16384000
x^4 - 12*x^3 - 2*x^2 + 4*x + 1,0,128,256,128,128,1,C(4),131072
x^4 - 12*x^3 + 14*x^2 + 12*x - 9,-960,-960,960,0,960,1,C(4),20736000
x^4 - 12*x^3 + 14*x^2 + 12*x + 1,-960,-960,960,0,960,1,C(4),4608000
x^4 - 11*x^3 - 6*x^2 + 11*x + 1,-1507,1096,1507,0,137,1,C(4),10285412
x^4 - 10*x^3 - 10*x^2 + 10*x + 5,-1320,1584,1320,0,264,1,C(4),11552000
x^4 - 10*x^3 - 6*x^2 + 10*x + 1,-1160,928,1160,0,232,1,C(4),6243584
x^4 - 10*x^3 - 5*x^2 + 14*x + 4,-2944,1344,2048,-96,32,0,C(4),13284752
x^4 - 10*x^3 + 15*x + 5,-3295,284,2130,-125,1,0,C(4),5460125
x^4 - 10*x^3 + 10*x^2 + 5*x - 5,155,234,-190,75,1,0,C(4),741125
x^4 - 10*x^3 + 15*x^2 + 10*x - 5,-320,-416,320,0,32,1,C(4),6728000
x^4 - 9*x^3 - 10*x^2 + 15*x - 1,-3903,2904,2265,-144,3,0,C(4),13284752
x^4 - 9*x^3 - 6*x^2 + 9*x + 1,-873,776,873,0,97,1,C(4),3650692
x^4 - 9*x^3 - 4*x^2 + 6*x + 1,-240,300,420,45,15,0,C(4),946125
x^4 - 9*x^3 + 15*x^2 - 2*x - 4,-40,788,-488,77,1,0,C(4),275684
x^4 - 8*x^3 - 12*x^2 + 2,64,560,384,64,16,0,C(4),591872
x^4 - 8*x^3 - 11*x^2 - 2*x + 1,160,480,400,60,20,0,C(4),2000
x^4 - 8*x^3 - 6*x^2 + 8*x + 1,-640,640,640,0,640,1,C(4),2048000
x^4 - 8*x^3 + 8*x - 2,-448,112,448,0,112,1,C(4),591872
x^4 - 8*x^3 + 4*x^2 + 8*x - 4,-320,-80,320,0,80,1,C(4),512000
x^4 - 8*x^3 + 4*x^2 + 13*x + 1,-1925,-420,1120,-105,35,0,C(4),2211125
x^4 - 8*x^3 + 7*x^2 + 2*x - 1,112,184,-208,60,4,0,C(4),78608
x^4 - 8*x^3 + 8*x^2 + 8*x - 2,-192,-144,192,0,48,1,C(4),903168
x^4 - 8*x^3 + 12*x^2 - 4,64,560,-384,64,16,0,C(4),131072
x^4 - 8*x^3 + 14*x^2 - 7*x + 1,15,-30,0,15,15,1,C(4),1125
