polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 3*x^2 + 15*x + 1,-3435,1145,3435,0,1145,1,D(4),48507925
x^4 - 15*x^3 - 2*x^2 - 15*x + 1,3615,0,3615,0,3615,2,D(4),-52272900
x^4 - 15*x^3 - 2*x^2 - 9*x + 5,921,-108,1407,144,3,0,D(4),-53067100
x^4 - 15*x^3 - 2*x^2 - 5*x + 1,285,-100,535,200,5,0,D(4),-3859900
x^4 - 15*x^3 - 2*x^2 + 7*x - 3,-279,308,799,176,1,0,D(4),-10352476
x^4 - 15*x^3 - 2*x^2 + 12*x + 13,-1704,648,2184,81,3,0,D(4),-195067683
x^4 - 15*x^3 - x^2 - 15*x + 1,3555,-237,3555,0,237,1,D(4),-50495931
x^4 - 15*x^3 - x^2 + 5*x - 1,-25,163,395,200,1,0,D(4),51525
x^4 - 15*x^3 - x^2 + 9*x - 2,-645,339,1203,144,3,0,D(4),3508848
x^4 - 15*x^3 - x^2 + 10*x + 14,-920,388,1480,125,1,0,D(4),-247818600
x^4 - 15*x^3 - x^2 + 12*x + 4,-1656,492,2124,81,3,0,D(4),3563280
x^4 - 15*x^3 - x^2 + 15*x + 1,-3315,663,3315,0,663,1,D(4),44396469
x^4 - 15*x^3 - 15*x + 1,3495,-466,3495,0,233,1,D(4),-48642944
x^4 - 15*x^3 - 8*x - 15,632,-256,1024,161,1,0,D(4),-319321467
x^4 - 15*x^3 + 8*x + 15,-392,224,896,161,7,0,D(4),-295993467
x^4 - 15*x^3 + 11*x - 1,-1211,314,1727,104,1,0,D(4),16401092
x^4 - 15*x^3 + 15*x - 5,-3255,434,3255,0,217,1,D(4),12590500
x^4 - 15*x^3 + 15*x + 1,-3255,434,3255,0,217,1,D(4),42568456
x^4 - 15*x^3 + x^2 - 15*x + 1,3435,-687,3435,0,687,1,D(4),-46724931
x^4 - 15*x^3 + x^2 - 10*x + 4,1080,-412,1520,125,1,0,D(4),-33379900
x^4 - 15*x^3 + x^2 - 6*x - 14,312,-228,528,189,3,0,D(4),-272938248
x^4 - 15*x^3 + x^2 - 3*x - 5,135,-111,99,216,3,0,D(4),-34805043
x^4 - 15*x^3 + x^2 + 12*x - 4,-1560,204,2004,81,3,0,D(4),5072912
x^4 - 15*x^3 + x^2 + 15*x + 1,-3195,213,3195,0,213,1,D(4),40877469
x^4 - 15*x^3 + 2*x^2 - 4*x - 13,152,-152,152,209,19,0,D(4),-229226211
x^4 - 15*x^3 + 2*x^2 + 1,120,0,-120,225,15,1,D(4),-1309275
x^4 - 15*x^3 + 3*x^2 - 15*x + 1,3315,-1105,3315,0,1105,1,D(4),-42735875
x^4 - 15*x^3 + 3*x^2 - 3*x + 7,111,-97,-21,216,1,0,D(4),-59552051
x^4 - 15*x^3 + 3*x^2 + 10*x - 4,-760,20,1240,125,5,0,D(4),40100
x^4 - 15*x^3 + 3*x^2 + 13*x + 2,-1921,-97,2251,56,1,0,D(4),17687264
x^4 - 15*x^3 + 3*x^2 + 15*x + 1,-3075,-205,3075,0,205,1,D(4),37864525
x^4 - 15*x^3 + 4*x^2 - 15*x + 1,3255,-1302,3255,0,651,1,D(4),-40684896
x^4 - 15*x^3 + 4*x^2 - 15*x + 9,3255,-1302,3255,0,651,1,D(4),-118065600
