polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 6*x^3 + 5*x^2 + 12*x - 11,-1440,-492,648,-108,12,0,E(4),176400
x^4 - 6*x^3 + 7*x^2 + 6*x - 9,0,0,0,0,undefined,4,E(4),14400
x^4 - 6*x^3 + 9*x^2 + 9,48,308,-216,36,4,0,E(4),291600
x^4 - 6*x^3 + 9*x^2 + 13,48,308,-216,36,4,0,E(4),781456
x^4 - 6*x^3 + 10*x^2 + 12*x + 4,-1200,-912,528,-108,12,0,E(4),518400
x^4 - 6*x^3 + 11*x^2 - 6*x + 7,0,0,0,0,undefined,4,E(4),69696
x^4 - 6*x^3 + 11*x^2 + 6*x + 1,96,144,-96,0,48,1,E(4),57600
x^4 - 6*x^3 + 11*x^2 + 8*x + 8,-112,-140,56,-28,28,0,E(4),2822400
x^4 - 6*x^3 + 13*x^2 - 12*x + 9,1152,-1356,648,-108,12,0,E(4),32400
x^4 - 6*x^3 + 13*x^2 - 6*x + 1,-48,120,-48,0,24,1,E(4),5184
x^4 - 6*x^3 + 14*x^2 - 12*x + 4,1104,-1392,624,-108,12,0,E(4),2304
x^4 - 6*x^3 + 14*x^2 - 10*x + 5,488,-752,344,-64,8,0,E(4),57600
x^4 - 6*x^3 + 14*x^2 - 8*x + 8,112,-224,112,-28,28,0,E(4),451584
x^4 - 5*x^3 - 4*x^2 + 15*x + 9,-3575,1098,1085,-200,1,0,E(4),1040400
x^4 - 5*x^3 - x^2 + 10*x + 4,-1000,188,440,-75,1,0,E(4),152100
x^4 - 5*x^3 + 7*x^2 - 6*x + 12,88,-132,88,-11,11,0,E(4),39204
x^4 - 5*x^3 + 8*x^2 - 7*x + 7,159,-222,141,-24,3,0,E(4),1764
x^4 - 5*x^3 + 9*x^2 + 10*x + 4,-600,-492,240,-75,3,0,E(4),656100
x^4 - 5*x^3 + 10*x^2 + 3*x + 3,133,324,-179,16,1,0,E(4),435600
x^4 - 5*x^3 + 11*x^2 - 10*x + 4,600,-732,360,-75,3,0,E(4),900
x^4 - 5*x^3 + 11*x^2 - 4*x + 4,-72,252,-108,9,9,0,E(4),176400
x^4 - 5*x^3 + 13*x^2 - 12*x + 12,1144,-1332,556,-119,1,0,E(4),219024
x^4 - 5*x^3 + 14*x^2 - 15*x + 9,2575,-2532,965,-200,1,0,E(4),44100
x^4 - 4*x^3 - 13*x^2 + 4*x + 1,-240,900,240,0,60,1,E(4),1040400
x^4 - 4*x^3 - 12*x^2 - 4*x + 1,288,720,288,0,144,1,E(4),186624
x^4 - 4*x^3 - 10*x^2 + 8*x + 4,-800,1088,352,-48,16,0,E(4),2073600
x^4 - 4*x^3 - 4*x^2 + 4*x + 1,-96,144,96,0,48,1,E(4),57600
x^4 - 4*x^3 - 3*x^2 + 14*x - 7,-2880,720,720,-180,180,0,E(4),94864
x^4 - 4*x^3 - 3*x^2 + 14*x - 4,-2880,720,720,-180,180,0,E(4),270400
x^4 - 4*x^3 - 3*x^2 + 14*x + 1,-2880,720,720,-180,180,0,E(4),291600
x^4 - 4*x^3 - 2*x^2 + 12*x - 6,-1792,384,512,-128,128,0,E(4),57600
x^4 - 4*x^3 - 2*x^2 + 12*x + 2,-1792,384,512,-128,128,0,E(4),112896
x^4 - 4*x^3 - x^2 + 10*x - 2,-1008,168,336,-84,84,0,E(4),69696
x^4 - 4*x^3 - x^2 + 10*x + 10,-1008,168,336,-84,84,0,E(4),57600
x^4 - 4*x^3 + 8*x - 1,-480,48,192,-48,48,0,E(4),25600
x^4 - 4*x^3 + 8*x + 11,-480,48,192,-48,48,0,E(4),200704
x^4 - 4*x^3 + x^2 + 6*x - 3,-160,0,80,-20,20,1,E(4),7056
x^4 - 4*x^3 + x^2 + 6*x + 5,-160,0,80,-20,20,1,E(4),17424
x^4 - 4*x^3 + x^2 + 6*x + 12,-160,0,80,-20,20,1,E(4),389376
x^4 - 4*x^3 + 2*x^2 + 4*x - 2,0,0,0,0,undefined,4,E(4),2304
x^4 - 4*x^3 + 2*x^2 + 4*x + 6,0,0,0,0,undefined,4,E(4),57600
x^4 - 4*x^3 + 2*x^2 + 4*x + 13,0,0,0,0,undefined,4,E(4),589824
x^4 - 4*x^3 + 3*x^2 + 2*x + 2,48,24,-48,12,12,0,E(4),3136
x^4 - 4*x^3 + 3*x^2 + 2*x + 14,48,24,-48,12,12,0,E(4),774400
x^4 - 4*x^3 + 4*x^2 + 3,32,48,-64,16,16,0,E(4),9216
x^4 - 4*x^3 + 4*x^2 + 8,32,48,-64,16,16,0,E(4),147456
x^4 - 4*x^3 + 4*x^2 + 15,32,48,-64,16,16,0,E(4),921600
x^4 - 4*x^3 + 4*x^2 + 12*x + 9,-1504,-432,416,-128,16,0,E(4),1016064
x^4 - 4*x^3 + 5*x^2 - 2*x + 1,0,48,-48,12,12,1,E(4),144
x^4 - 4*x^3 + 5*x^2 - 2*x + 4,0,48,-48,12,12,1,E(4),14400
