polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 2*x^3 - 7*x^2 - 8*x + 1,720,660,-120,-60,60,0,E(4),176400
x^4 + 8*x^3 - 10*x^2 - 8*x + 1,768,1152,-768,0,384,1,E(4),3686400
x^4 + 10*x^3 + 2*x^2 - 10*x + 1,840,0,-840,0,840,2,E(4),2822400
x^4 + 12*x^3 + 12*x^2 - 12*x + 1,1056,-880,-1056,0,176,1,E(4),5234944
x^4 + 11*x^3 + 2*x^2 - 11*x + 1,1155,0,-1155,0,1155,2,E(4),5336100
x^4 + 12*x^3 + 2*x^2 - 12*x + 1,1536,0,-1536,0,1536,2,E(4),9437184
x^4 + 12*x^3 - 5*x^2 - 12*x + 1,1872,1092,-1872,0,156,1,E(4),15210000
x^4 + 13*x^3 + 2*x^2 - 13*x + 1,1989,0,-1989,0,1989,2,E(4),15824484
x^4 + 12*x^3 - 8*x^2 - 12*x + 1,2016,1680,-2016,0,336,1,E(4),19079424
x^4 + 14*x^3 + 2*x^2 - 14*x + 1,2520,0,-2520,0,2520,2,E(4),25401600
x^4 + 4*x^3 - 3*x^2 - 14*x + 1,2880,720,-720,-180,180,0,E(4),291600
x^4 + 15*x^3 + 2*x^2 - 15*x + 1,3135,0,-3135,0,3135,2,E(4),39312900
x^4 + 15*x^3 - 14*x^2 - 15*x + 1,4095,4368,-4095,0,273,1,E(4),86155524
