polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 8*x^4 + 16*x^3 + 7*x^2 + 10*x + 1,24,-489/2,318,759,-93/2,-15,165/2,3/2,0,A5,281132289
x^5 - 8*x^4 + 17*x^3 - x^2 - 13*x + 1,43/2,-393/2,1233/2,-787,453,-108,343/2,1/2,0,A5,5184729
x^5 - 8*x^4 + 17*x^3 + 9*x^2 + 2*x + 1,43/2,-543/2,1023/2,393,381/2,-201/2,-37/2,1/2,0,A5,55621764
x^5 - 8*x^4 + 18*x^3 - 9*x^2 + 14*x + 1,19,-297/2,168,435,-273/2,-324,437/2,1/2,0,A5,148620481
x^5 - 8*x^4 + 23*x^3 + 24*x^2 + 6*x + 1,13/2,-456,1983/2,1415,777,87/2,-24,1/2,0,A5,566773249
x^5 - 8*x^4 + 24*x^3 + 13*x^2 - 6*x + 1,4,-771/2,1110,263,1179/2,-297,7/2,1/2,0,A5,1289887225
x^5 - 8*x^4 + 25*x^3 + 21*x^2 + 19*x + 1,3/2,-915/2,1809/2,2089,69,411,617/2,1/2,0,A5,36445482649
x^5 - 7*x^4 - 24*x^3 + 5*x^2 + 11*x + 1,109,429/2,1503/2,274,1077/2,525/2,217/2,1/2,0,A5,7182732001
x^5 - 7*x^4 - 23*x^3 + 16*x^2 + 13*x + 1,213/2,243/2,1533/2,-124,1875/2,969/2,129,1/2,0,A5,14654797249
x^5 - 7*x^4 + 12*x^3 + 4*x^2 - 3*x + 1,19,-156,303,-76,183,-108,-1,1,0,A5,3154176
x^5 - 7*x^4 + 12*x^3 + 20*x^2 + 5*x + 1,19,-276,351,700,615,60,-25,1,0,A5,143616256
x^5 - 7*x^4 + 12*x^3 + 24*x^2 + x + 1,19,-306,453,600,951,-54,-59,1,0,A5,1104365824
x^5 - 7*x^4 + 14*x^3 + 21*x^2 - 9*x + 1,14,-609/2,1299/2,122,1911/2,-777/2,57/2,1/2,0,A5,258277041
x^5 - 7*x^4 + 14*x^3 + 25*x^2 + 21*x + 1,14,-669/2,483/2,1704,1203/2,1365/2,757/2,1/2,0,A5,12785955625
x^5 - 7*x^4 + 18*x^3 - 22*x^2 + 17*x + 1,4,-24,0,16,372,-696,344,4,1,A5,18939904
x^5 - 7*x^4 + 18*x^3 + 18*x^2 + 9*x + 1,4,-324,540,1064,348,108,36,4,0,A5,294191104
x^5 - 7*x^4 + 20*x^3 - 19*x^2 + 7*x + 1,-1,-135/2,591/2,-442,873/2,-699/2,193/2,1,0,A5,12766329
x^5 - 7*x^4 + 21*x^3 - 5*x^2 + 6*x + 1,-7/2,-183,519,59,-93/2,-405/2,97/2,1/2,0,A5,411643521
x^5 - 7*x^4 + 22*x^3 - 2*x^2 + x + 1,-6,-216,690,-64,78,-168,6,2,0,A5,220463104
x^5 - 6*x^4 - 23*x^3 + 3*x^2 + 10*x + 1,187/2,369/2,1341/2,257,897/2,435/2,185/2,1/2,0,A5,3923519044
x^5 - 6*x^4 - 23*x^3 + 12*x^2 + 20*x + 1,187/2,117,1203/2,263,996,1065/2,370,1/2,0,A5,45803276289
x^5 - 6*x^4 - 23*x^3 + 13*x^2 + 12*x + 1,187/2,219/2,1461/2,-119,1515/2,813/2,223/2,1/2,0,A5,8656813764
x^5 - 6*x^4 - 13*x^3 + 13*x^2 + 9*x + 1,137/2,39/2,471/2,15,519,273,97/2,1/2,0,A5,346220449
x^5 - 6*x^4 + 10*x^3 - x^2 + 16*x + 1,11,-165/2,-99,627,-297/2,-99,517/2,11/2,0,A5,501088225
x^5 - 6*x^4 + 10*x^3 + 11*x^2 - x + 1,11,-345/2,264,153,573/2,-183/2,-53/2,1/2,0,A5,72046144
