polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 3*x^4 + 5*x^3 + 14*x^2 + 3*x + 1,-26,51/2,453/2,52,-141/2,-165/2,-7/2,1/2,0,D(5),18429849
x^5 + 3*x^4 + 6*x^3 + 5*x^2 + x + 1,-23/2,-75/2,-33/2,14,33/2,-21/2,-6,1/2,0,D(5),57121
x^5 + 3*x^4 + 7*x^3 - 17*x^2 + 6*x + 1,157/2,-411/2,651/2,-389,60,159,-17/2,1/2,0,D(5),4549689
x^5 + 3*x^4 + 7*x^3 - x^2 - 3*x + 1,23/2,-48,-12,24,123,39,-17/2,1/2,0,D(5),512656
x^5 + 3*x^4 + 7*x^3 + 6*x^2 + x + 1,-14,-87/2,-3/2,38,63/2,-27/2,-17/2,1/2,0,D(5),229441
x^5 + 3*x^4 + 7*x^3 + 8*x^2 + 9*x + 1,61,111/2,-87/2,-102,-195/2,-57/2,-17/2,1/2,0,D(5),511225
x^5 + 3*x^4 + 8*x^3 - 4*x^2 + 23*x + 1,539,-198,-297,-572,-231,66,-11,11,0,D(5),3838050304
x^5 + 3*x^4 + 8*x^3 + 7*x^2 + x + 1,-33/2,-99/2,33/2,66,99/2,-33/2,-11,11/2,0,D(5),717409
x^5 + 3*x^4 + 9*x^3 + 8*x^2 + x + 1,-19,-111/2,75/2,98,141/2,-39/2,-27/2,1/2,0,D(5),1868689
x^5 + 3*x^4 + 10*x^3 + 9*x^2 + x + 1,-43/2,-123/2,123/2,134,189/2,-45/2,-16,1/2,0,D(5),4255969
x^5 + 3*x^4 + 11*x^3 + 10*x^2 + x + 1,-24,-135/2,177/2,174,243/2,-51/2,-37/2,1/2,0,D(5),8755681
x^5 + 3*x^4 + 11*x^3 + 11*x^2 - 2*x + 1,-47/2,-231/2,339/2,259,162,-33,-37/2,1/2,0,D(5),29214025
x^5 + 3*x^4 + 11*x^3 + 13*x^2 + 18*x + 1,583/2,537/2,-177/2,-117,-147,-48,-37/2,1/2,0,D(5),1857769
x^5 + 3*x^4 + 12*x^3 + 11*x^2 + x + 1,-53/2,-147/2,237/2,218,303/2,-57/2,-21,1/2,0,D(5),16638241
x^5 + 3*x^4 + 13*x^3 + 12*x^2 + x + 1,-29,-159/2,303/2,266,369/2,-63/2,-47/2,1/2,0,D(5),29669809
x^5 + 3*x^4 + 14*x^3 + 5*x^2 + 3*x + 1,-7/2,-165/2,-141/2,52,453/2,51/2,-26,1/2,0,D(5),18429849
x^5 + 3*x^4 + 14*x^3 + 13*x^2 + x + 1,-63/2,-171/2,375/2,318,441/2,-69/2,-26,1/2,0,D(5),50225569
x^5 + 3*x^4 + 15*x^3 + 14*x^2 + x + 1,-34,-183/2,453/2,374,519/2,-75/2,-57/2,1/2,0,D(5),81414529
x^5 + 3*x^4 + 16*x^3 + 15*x^2 + x + 1,-73/2,-195/2,537/2,434,603/2,-81/2,-31,1/2,0,D(5),127215841
x^5 + 3*x^4 + 17*x^3 + 16*x^2 + x + 1,-39,-207/2,627/2,498,693/2,-87/2,-67/2,1/2,0,D(5),192626641
x^5 + 3*x^4 + 17*x^3 + 17*x^2 + 19*x + 1,637/2,357,-96,154,72,-51,-67/2,1/2,0,D(5),1269639424
