polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 25*x^4 + 25*x^3 - 5*x + 1,25,-375/2,1125/2,-900,2025/2,-1875/2,1125/2,25/2,0,A5,43890625
x^5 - 25*x^4 + 25*x^3 + 13*x^2 - 10*x + 1,135/2,-765/2,2007/2,-1125,1575,-1035,1125/2,9/2,0,A5,18451690569
x^5 - 24*x^4 + 11*x^3 + 23*x^2 - 10*x + 1,85/2,-855/2,2637/2,-1199,2319/2,-1137/2,1097/2,1/2,0,A5,2059525924
x^5 - 24*x^4 + 20*x^3 + 13*x^2 - 12*x + 1,223/2,-384,1947/2,-1521,1248,-1635/2,526,1/2,0,A5,5073855361
x^5 - 23*x^4 + 25*x^3 + 19*x^2 - 20*x + 1,705/2,-1515/2,3273/2,-2295,1893,-1005,933/2,3/2,0,A5,128868794289
x^5 - 20*x^4 + 12*x^3 + 19*x^2 - 14*x + 1,297/2,-489,2187/2,-1529,996,-1005/2,370,1/2,0,A5,2411693881
x^5 - 20*x^4 + 19*x^3 + 25*x^2 - 23*x + 1,933/2,-1005,1893,-2295,3273/2,-1515/2,705/2,3/2,0,A5,128868794289
x^5 - 18*x^4 + 11*x^3 + 11*x^2 - 8*x + 1,73/2,-429/2,1167/2,-791,1197/2,-759/2,593/2,1/2,0,A5,210540100
x^5 - 17*x^4 - 21*x^3 + 15*x^2 + 11*x + 1,167/2,405,939,654,879,423,683/2,1/2,0,A5,16744360000
x^5 - 15*x^4 + 7*x^3 + 15*x^2 - 10*x + 1,125/2,-555/2,1335/2,-865,561,-270,415/2,1/2,0,A5,318943881
x^5 - 14*x^4 - 23*x^3 + 14*x^2 + 24*x + 1,541,1353/2,1332,1683,1455/2,378,507/2,1/2,0,A5,11459060209
x^5 - 14*x^4 + 19*x^3 + 12*x^2 - 20*x + 1,370,-1005/2,996,-1529,2187/2,-489,297/2,1/2,0,A5,2411693881
x^5 - 13*x^4 - 9*x^3 + 11*x^2 + 8*x + 1,73/2,399/2,969/2,505,216,93,383/2,1/2,0,A5,136866601
x^5 - 13*x^4 - x^3 + 17*x^2 - 8*x + 1,43/2,-393/2,1233/2,-787,453,-108,343/2,1/2,0,A5,5184729
x^5 - 12*x^4 + 13*x^3 + 20*x^2 - 24*x + 1,526,-1635/2,1248,-1521,1947/2,-384,223/2,1/2,0,A5,5073855361
x^5 - 12*x^4 + 20*x^3 + x^2 - 8*x + 1,123/2,-162,843/2,-657,738,-735/2,94,1/2,0,A5,349054489
x^5 - 12*x^4 + 21*x^3 - x^2 - 11*x + 1,247/2,-141,528,-991,1617/2,-741/2,183/2,1/2,0,A5,119486761
x^5 - 11*x^4 - 19*x^3 + 11*x^2 + 20*x + 1,745/2,945/2,1833/2,1097,423,231,337/2,1/2,0,A5,1871687169
x^5 - 11*x^4 - x^3 + 21*x^2 - 12*x + 1,183/2,-741/2,1617/2,-991,528,-141,247/2,1/2,0,A5,119486761
x^5 - 10*x^4 - 23*x^3 + 25*x^2 + 16*x + 1,387/2,1545/2,3279/2,-55,1857/2,315/2,315/2,1/2,0,A5,68961911236
x^5 - 10*x^4 + 13*x^3 + 25*x^2 - 25*x + 1,1125/2,-1035,1575,-1125,2007/2,-765/2,135/2,9/2,0,A5,18451690569
x^5 - 10*x^4 + 15*x^3 + 7*x^2 - 15*x + 1,415/2,-270,561,-865,1335/2,-555/2,125/2,1/2,0,A5,318943881
