polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 3*x^4 - 14*x^3 + 12*x^2 - x + 1,44,-153,255,-340,150,87,-29,1,0,F(5),9522000
x^5 + 3*x^4 - 13*x^3 + x^2 + 5*x + 1,83/2,-66,174,-156,54,105,45/2,1/2,0,F(5),2382032
x^5 + 3*x^4 - 10*x^3 - 25*x^2 - 8*x + 1,34,285/2,765/2,643,1545/2,375,253/2,1/2,0,F(5),227381317
x^5 + 3*x^4 - 9*x^3 - 23*x^2 + 9*x + 1,63/2,132,90,200,870,-243,277/2,1/2,0,F(5),108578000
x^5 + 3*x^4 - 6*x^3 - 14*x^2 + x + 1,24,78,102,122,258,24,36,2,0,F(5),19120976
x^5 + 3*x^4 + x^3 - x + 1,13/2,9/2,33/2,-4,-87/2,-15/2,1,1,0,F(5),44217
x^5 + 3*x^4 + x^3 + 17*x^2 - x + 1,13/2,-123,-60,30,390,-33,-83/2,1/2,0,F(5),157216000
x^5 + 3*x^4 + 6*x^3 + 2*x^2 + 19*x + 1,-6,12,-240,-400,-210,12,356,2,0,F(5),640000000
x^5 + 3*x^4 + 6*x^3 + 22*x^2 + 9*x + 1,-6,-138,-180,50,600,252,26,2,0,F(5),5618000
x^5 + 4*x^4 + 2*x^3 + 6*x^2 - 2*x + 1,11,-33,0,55,0,-33,-11,11,2,F(5),1830125
x^5 + 5*x^4 - 10*x^3 + 10*x^2 - 5*x + 1,50,-150,150,-50,0,0,0,50,3,F(5),50000
x^5 + 5*x^4 - 20*x^2 - 5*x + 1,25,150,225,150,525,150,75,25,0,F(5),2450000
x^5 + 5*x^4 + 5*x^2 + 1,25,-75/2,-75/2,-25,-75/2,0,-25/2,25/2,1,F(5),78125
x^5 + 5*x^4 + x^3 - 13*x^2 + 3*x + 1,45/2,105,54,-156,174,-66,83/2,1/2,0,F(5),2382032
x^5 + 5*x^4 + 10*x^3 + 20*x^2 + 5*x + 1,0,-75,-75,200,450,75,-25,25,1,F(5),42050000
x^5 + 5*x^4 + 10*x^3 + 25*x^2 - 10*x + 1,0,-225/2,225/2,825,2025/2,-450,75/2,75/2,1,F(5),91378125
x^5 + 5*x^4 + 14*x^3 + 18*x^2 - 9*x + 1,-10,-30,294,794,600,-348,36,2,0,F(5),7909200
x^5 + 5*x^4 + 14*x^3 + 18*x^2 + 17*x + 1,-10,-30,-96,-116,54,354,244,2,0,F(5),8998912
x^5 + 5*x^4 + 15*x^3 + 25*x^2 + 25*x + 1,-25/2,-75,-225,-150,300,825,1125/2,25/2,0,F(5),33800000
x^5 + 5*x^4 + 20*x^3 + 10*x^2 + 5*x + 1,-25,75,450,200,-75,-75,0,25,1,F(5),42050000
x^5 + 6*x^4 + 6*x^3 - 11*x^2 - 8*x + 1,21,273/2,273,179,327/2,87,183/2,1/2,0,F(5),6725897
x^5 + 6*x^4 + 23*x^3 + 23*x^2 + 9*x + 1,-43/2,69/2,903/2,655,393,138,47/2,1/2,0,F(5),3581577
x^5 + 7*x^4 - 8*x^3 + 12*x^2 + 7*x + 1,69,-174,-135,-560,195,186,19,1,0,F(5),157216000
