polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 + 5*x^4 - 12*x^3 - x^2 + 5*x + 1,(2596)*x^4 + (-4411)*x^3 + (-616)*x^2 + (1815)*x^1 + (385),(2596) * (x^4 - 401/236*x^3 - 14/59*x^2 + 165/236*x + 35/236),2596,-4411,-616,1815,385,11,0,C(5),7745089
x^5 + 5*x^4 - x^3 - 23*x^2 - 6*x + 1,(154)*x^4 + (891)*x^3 + (1507)*x^2 + (352)*x^1 + (66),(154) * (x^4 + 81/14*x^3 + 137/14*x^2 + 16/7*x + 3/7),154,891,1507,352,66,11,0,C(5),27071209
x^5 + 5*x^4 - x^3 - 12*x^2 + 5*x + 1,(319)*x^4 + (99)*x^3 + (-649)*x^2 + (165)*x^1 + (110),(319) * (x^4 + 9/29*x^3 - 59/29*x^2 + 15/29*x + 10/29),319,99,-649,165,110,11,0,C(5),7745089
x^5 + 9*x^4 - 5*x^3 - 9*x^2 + 4*x + 1,(8140)*x^4 + (-3553)*x^3 + (-7931)*x^2 + (3256)*x^1 + (880),(8140) * (x^4 - 323/740*x^3 - 721/740*x^2 + 2/5*x + 4/37),8140,-3553,-7931,3256,880,11,0,C(5),7745089
x^5 + 9*x^4 + 17*x^3 + 2*x^2 - 7*x + 1,(1045)*x^4 + (2651)*x^3 + (583)*x^2 + (-1111)*x^1 + (176),(1045) * (x - 1/5) * (x^3 + 52/19*x^2 + 21/19*x - 16/19),1045,2651,583,-1111,176,11,0,C(5),7745089
x^5 + 9*x^4 + 20*x^3 + 5*x^2 - 11*x + 1,(496)*x^4 + (1643)*x^3 + (806)*x^2 + (-775)*x^1 + (155),(496) * (x^4 + 53/16*x^3 + 13/8*x^2 - 25/16*x + 5/16),496,1643,806,-775,155,31,0,C(5),23088025
x^5 + 10*x^4 + 5*x^3 - 10*x^2 + 1,(7000)*x^4 + (4375)*x^3 + (-7250)*x^2 + (-125)*x^1 + (750),(7000) * (x^4 + 5/8*x^3 - 29/28*x^2 - 1/56*x + 3/28),7000,4375,-7250,-125,750,125,0,C(5),19140625
x^5 + 12*x^4 + 18*x^3 - 25*x^2 - 8*x + 1,(7392)*x^4 + (14399)*x^3 + (-15147)*x^2 + (-5346)*x^1 + (803),(7392) * (x^4 + 187/96*x^3 - 459/224*x^2 - 81/112*x + 73/672),7392,14399,-15147,-5346,803,11,0,C(5),14320669561
x^5 + 16*x^4 - 23*x^3 - 23*x^2 + 5*x + 1,(94809)*x^4 + (-116413)*x^3 + (-124938)*x^2 + (26664)*x^1 + (5478),(94809) * (x^4 - 10583/8619*x^3 - 3786/2873*x^2 + 808/2873*x + 166/2873),94809,-116413,-124938,26664,5478,11,0,C(5),61348849969
x^5 + 20*x^4 + 17*x^3 - 9*x^2 - 7*x + 1,(126181)*x^4 + (115599)*x^3 + (-56650)*x^2 + (-46398)*x^1 + (6644),(126181) * (x^4 + 10509/11471*x^3 - 5150/11471*x^2 - 4218/11471*x + 604/11471),126181,115599,-56650,-46398,6644,11,0,C(5),27071209
