polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 9*x^4 + 21*x^3 + 14*x^2 - 7*x + 1,(-831)*x^4 + (2495)*x^3 + (2697)*x^2 + (-1257)*x^1 + (146),(-831) * (x^4 - 2495/831*x^3 - 899/277*x^2 + 419/277*x - 146/831),-831,2495,2697,-1257,146,1,0,A5,258277041
x^5 - 9*x^4 + 22*x^3 + 8*x^2 + x + 1,(-860)*x^4 + (2888)*x^3 + (1156)*x^2 + (-56)*x^1 + (104),(-860) * (x^4 - 722/215*x^3 - 289/215*x^2 + 14/215*x - 26/215),-860,2888,1156,-56,104,4,0,A5,152967424
x^5 - 9*x^4 + 23*x^3 - 11*x^2 + 1,(-44)*x^4 + (107)*x^3 + (135)*x^2 + (-196)*x^1 + (44),(-44) * (x^4 - 107/44*x^3 - 135/44*x^2 + 49/11*x - 1),-44,107,135,-196,44,1,0,A5,990025
x^5 - 9*x^4 + 23*x^3 + 23*x^2 + 7*x + 1,(-1985)*x^4 + (7178)*x^3 + (6767)*x^2 + (1946)*x^1 + (263),(-1985) * (x^4 - 7178/1985*x^3 - 6767/1985*x^2 - 1946/1985*x - 263/1985),-1985,7178,6767,1946,263,1,0,A5,74511424
x^5 - 8*x^4 - 25*x^3 + 7*x^2 + 12*x + 1,(14080)*x^4 + (30899)*x^3 + (-9691)*x^2 + (-14927)*x^1 + (-1133),(14080) * (x^4 + 2809/1280*x^3 - 881/1280*x^2 - 1357/1280*x - 103/1280),14080,30899,-9691,-14927,-1133,11,0,A5,12936787600
x^5 - 8*x^4 - 23*x^3 + 19*x^2 + 14*x + 1,(12450)*x^4 + (23003)*x^3 + (-21561)*x^2 + (-15027)*x^1 + (-957),(12450) * (x^4 + 23003/12450*x^3 - 7187/4150*x^2 - 5009/4150*x - 319/4150),12450,23003,-21561,-15027,-957,1,0,A5,24788613136
x^5 - 8*x^4 - 3*x^3 + 25*x^2 + 17*x + 1,(3637)*x^4 + (251)*x^3 + (-10594)*x^2 + (-6560)*x^1 + (-194),(3637) * (x^4 + 251/3637*x^3 - 10594/3637*x^2 - 6560/3637*x - 194/3637),3637,251,-10594,-6560,-194,1,0,A5,1786330225
x^5 - 8*x^4 + x^3 + 20*x^2 - 12*x + 1,(3000)*x^4 + (-2217)*x^3 + (-5124)*x^2 + (3531)*x^1 + (-236),(3000) * (x^4 - 739/1000*x^3 - 427/250*x^2 + 1177/1000*x - 59/750),3000,-2217,-5124,3531,-236,1,0,A5,349054489
x^5 - 8*x^4 + 8*x^3 + 23*x^2 + 10*x + 1,(538)*x^4 + (-777)*x^3 + (-1567)*x^2 + (-594)*x^1 + (-41),(538) * (x^4 - 777/538*x^3 - 1567/538*x^2 - 297/269*x - 41/538),538,-777,-1567,-594,-41,1,0,A5,7017201
x^5 - 8*x^4 + 11*x^3 + 11*x^2 - 18*x + 1,(802)*x^4 + (-2045)*x^3 + (403)*x^2 + (979)*x^1 + (219),(802) * (x^4 - 2045/802*x^3 + 403/802*x^2 + 979/802*x + 219/802),802,-2045,403,979,219,1,0,A5,210540100
x^5 - 8*x^4 + 13*x^3 + 22*x^2 - 2*x + 1,(-414)*x^4 + (639)*x^3 + (2466)*x^2 + (-333)*x^1 + (18),(-414) * (x^4 - 71/46*x^3 - 137/23*x^2 + 37/46*x - 1/23),-414,639,2466,-333,18,9,0,A5,422179209
x^5 - 8*x^4 + 16*x^3 + 7*x^2 + 10*x + 1,(-486)*x^4 + (1431)*x^3 + (81)*x^2 + (486)*x^1 + (135),(-486) * (x^4 - 53/18*x^3 - 1/6*x^2 - x - 5/18),-486,1431,81,486,135,27,0,A5,281132289
x^5 - 8*x^4 + 17*x^3 - x^2 - 13*x + 1,(55)*x^4 + (-349)*x^3 + (708)*x^2 + (-448)*x^1 + (196),(55) * (x^4 - 349/55*x^3 + 708/55*x^2 - 448/55*x + 196/55),55,-349,708,-448,196,1,0,A5,5184729
x^5 - 8*x^4 + 17*x^3 + 9*x^2 + 2*x + 1,(-650)*x^4 + (1891)*x^3 + (1043)*x^2 + (77)*x^1 + (81),(-650) * (x^4 - 1891/650*x^3 - 1043/650*x^2 - 77/650*x - 81/650),-650,1891,1043,77,81,1,0,A5,55621764
x^5 - 8*x^4 + 18*x^3 - 9*x^2 + 14*x + 1,(-146)*x^4 + (543)*x^3 + (-371)*x^2 + (-392)*x^1 + (215),(-146) * (x^4 - 543/146*x^3 + 371/146*x^2 + 196/73*x - 215/146),-146,543,-371,-392,215,1,0,A5,148620481
x^5 - 8*x^4 + 23*x^3 + 24*x^2 + 6*x + 1,(-2390)*x^4 + (10551)*x^3 + (10434)*x^2 + (2461)*x^1 + (380),(-2390) * (x^4 - 10551/2390*x^3 - 5217/1195*x^2 - 2461/2390*x - 38/239),-2390,10551,10434,2461,380,1,0,A5,566773249
x^5 - 8*x^4 + 24*x^3 + 13*x^2 - 6*x + 1,(-1814)*x^4 + (8695)*x^3 + (5209)*x^2 + (-2422)*x^1 + (357),(-1814) * (x^4 - 8695/1814*x^3 - 5209/1814*x^2 + 1211/907*x - 357/1814),-1814,8695,5209,-2422,357,1,0,A5,1289887225
x^5 - 8*x^4 + 25*x^3 + 21*x^2 + 19*x + 1,(-2697)*x^4 + (13195)*x^3 + (9396)*x^2 + (8874)*x^1 + (754),(-2697) * (x^4 - 455/93*x^3 - 108/31*x^2 - 102/31*x - 26/93),-2697,13195,9396,8874,754,29,0,A5,36445482649
x^5 - 7*x^4 - 24*x^3 + 5*x^2 + 11*x + 1,(10210)*x^4 + (23189)*x^3 + (-5548)*x^2 + (-10599)*x^1 + (-869),(10210) * (x^4 + 23189/10210*x^3 - 2774/5105*x^2 - 10599/10210*x - 869/10210),10210,23189,-5548,-10599,-869,1,0,A5,7182732001
x^5 - 7*x^4 - 23*x^3 + 16*x^2 + 13*x + 1,(9285)*x^4 + (18113)*x^3 + (-14319)*x^2 + (-10893)*x^1 + (-738),(9285) * (x^4 + 18113/9285*x^3 - 4773/3095*x^2 - 3631/3095*x - 246/3095),9285,18113,-14319,-10893,-738,1,0,A5,14654797249
x^5 - 7*x^4 + 12*x^3 + 4*x^2 - 3*x + 1,(-86)*x^4 + (124)*x^3 + (332)*x^2 + (-196)*x^1 + (22),(-86) * (x^4 - 62/43*x^3 - 166/43*x^2 + 98/43*x - 11/43),-86,124,332,-196,22,2,0,A5,3154176
x^5 - 7*x^4 + 12*x^3 + 20*x^2 + 5*x + 1,(-878)*x^4 + (2036)*x^3 + (3380)*x^2 + (756)*x^1 + (118),(-878) * (x^4 - 1018/439*x^3 - 1690/439*x^2 - 378/439*x - 59/439),-878,2036,3380,756,118,2,0,A5,143616256
x^5 - 7*x^4 + 12*x^3 + 24*x^2 + x + 1,(-986)*x^4 + (2220)*x^3 + (5084)*x^2 + (100)*x^1 + (114),(-986) * (x^4 - 1110/493*x^3 - 2542/493*x^2 - 50/493*x - 57/493),-986,2220,5084,100,114,2,0,A5,1104365824
x^5 - 7*x^4 + 14*x^3 + 21*x^2 - 9*x + 1,(-992)*x^4 + (2719)*x^3 + (5418)*x^2 + (-2261)*x^1 + (235),(-992) * (x^4 - 2719/992*x^3 - 2709/496*x^2 + 2261/992*x - 235/992),-992,2719,5418,-2261,235,1,0,A5,258277041
x^5 - 7*x^4 + 14*x^3 + 25*x^2 + 21*x + 1,(-1610)*x^4 + (4665)*x^3 + (6220)*x^2 + (5635)*x^1 + (615),(-1610) * (x^4 - 933/322*x^3 - 622/161*x^2 - 7/2*x - 123/322),-1610,4665,6220,5635,615,5,0,A5,12785955625
x^5 - 7*x^4 + 18*x^3 - 22*x^2 + 17*x + 1,(-44)*x^4 + (32)*x^3 + (392)*x^2 + (-768)*x^1 + (340),(-44) * (x^4 - 8/11*x^3 - 98/11*x^2 + 192/11*x - 85/11),-44,32,392,-768,340,4,0,A5,18939904
x^5 - 7*x^4 + 18*x^3 + 18*x^2 + 9*x + 1,(-1604)*x^4 + (6320)*x^3 + (5640)*x^2 + (2768)*x^1 + (332),(-1604) * (x^4 - 1580/401*x^3 - 1410/401*x^2 - 692/401*x - 83/401),-1604,6320,5640,2768,332,4,0,A5,294191104
x^5 - 7*x^4 + 20*x^3 - 19*x^2 + 7*x + 1,(-206)*x^4 + (1029)*x^3 + (-972)*x^2 + (173)*x^1 + (171),(-206) * (x^4 - 1029/206*x^3 + 486/103*x^2 - 173/206*x - 171/206),-206,1029,-972,173,171,1,0,A5,12766329
x^5 - 7*x^4 + 21*x^3 - 5*x^2 + 6*x + 1,(-860)*x^4 + (4399)*x^3 + (-1063)*x^2 + (1046)*x^1 + (256),(-860) * (x^4 - 4399/860*x^3 + 1063/860*x^2 - 523/430*x - 64/215),-860,4399,-1063,1046,256,1,0,A5,411643521
x^5 - 7*x^4 + 22*x^3 - 2*x^2 + x + 1,(-984)*x^4 + (5600)*x^3 + (-432)*x^2 + (96)*x^1 + (264),(-984) * (x^4 - 700/123*x^3 + 18/41*x^2 - 4/41*x - 11/41),-984,5600,-432,96,264,8,0,A5,220463104
x^5 - 6*x^4 - 23*x^3 + 3*x^2 + 10*x + 1,(7294)*x^4 + (17123)*x^3 + (-2723)*x^2 + (-7331)*x^1 + (-653),(7294) * (x^4 + 17123/7294*x^3 - 389/1042*x^2 - 7331/7294*x - 653/7294),7294,17123,-2723,-7331,-653,1,0,A5,3923519044
x^5 - 6*x^4 - 23*x^3 + 12*x^2 + 20*x + 1,(6820)*x^4 + (14735)*x^3 + (-9010)*x^2 + (-13121)*x^1 + (-308),(6820) * (x^4 + 2947/1364*x^3 - 901/682*x^2 - 13121/6820*x - 7/155),6820,14735,-9010,-13121,-308,1,0,A5,45803276289
x^5 - 6*x^4 - 23*x^3 + 13*x^2 + 12*x + 1,(6904)*x^4 + (14087)*x^3 + (-9081)*x^2 + (-7733)*x^1 + (-559),(6904) * (x^4 + 14087/6904*x^3 - 9081/6904*x^2 - 7733/6904*x - 559/6904),6904,14087,-9081,-7733,-559,1,0,A5,8656813764
x^5 - 6*x^4 - 13*x^3 + 13*x^2 + 9*x + 1,(3709)*x^4 + (4721)*x^3 + (-5694)*x^2 + (-3670)*x^1 + (-382),(3709) * (x^4 + 4721/3709*x^3 - 5694/3709*x^2 - 3670/3709*x - 382/3709),3709,4721,-5694,-3670,-382,1,0,A5,346220449
x^5 - 6*x^4 + 10*x^3 - x^2 + 16*x + 1,(-308)*x^4 + (803)*x^3 + (-341)*x^2 + (154)*x^1 + (275),(-308) * (x^4 - 73/28*x^3 + 31/28*x^2 - 1/2*x - 25/28),-308,803,-341,154,275,11,0,A5,501088225
x^5 - 6*x^4 + 10*x^3 + 11*x^2 - x + 1,(-485)*x^4 + (1097)*x^3 + (1469)*x^2 + (-209)*x^1 + (80),(-485) * (x^4 - 1097/485*x^3 - 1469/485*x^2 + 209/485*x - 16/97),-485,1097,1469,-209,80,1,0,A5,72046144
x^5 - 6*x^4 + 13*x^3 + 24*x^2 - 8*x + 1,(-1112)*x^4 + (3767)*x^3 + (7762)*x^2 + (-2597)*x^1 + (280),(-1112) * (x^4 - 3767/1112*x^3 - 3881/556*x^2 + 2597/1112*x - 35/139),-1112,3767,7762,-2597,280,1,0,A5,1289887225
x^5 - 6*x^4 + 17*x^3 + 8*x^2 - 4*x + 1,(-836)*x^4 + (4415)*x^3 + (2278)*x^2 + (-1177)*x^1 + (248),(-836) * (x^4 - 4415/836*x^3 - 1139/418*x^2 + 107/76*x - 62/209),-836,4415,2278,-1177,248,1,0,A5,273009529
x^5 - 6*x^4 + 19*x^3 + 11*x^2 + 17*x + 1,(-1331)*x^4 + (7361)*x^3 + (3530)*x^2 + (5632)*x^1 + (584),(-1331) * (x^4 - 7361/1331*x^3 - 3530/1331*x^2 - 512/121*x - 584/1331),-1331,7361,3530,5632,584,1,0,A5,11706590809
x^5 - 6*x^4 + 21*x^3 - 21*x^2 + 14*x + 1,(-174)*x^4 + (2075)*x^3 + (-2199)*x^2 + (1245)*x^1 + (379),(-174) * (x^4 - 2075/174*x^3 + 733/58*x^2 - 415/58*x - 379/174),-174,2075,-2199,1245,379,1,0,A5,536848900
x^5 - 6*x^4 + 23*x^3 + 15*x^2 + 4*x + 1,(-1328)*x^4 + (11471)*x^3 + (7103)*x^2 + (1733)*x^1 + (427),(-1328) * (x^4 - 11471/1328*x^3 - 7103/1328*x^2 - 1733/1328*x - 427/1328),-1328,11471,7103,1733,427,1,0,A5,403768836
x^5 - 6*x^4 + 23*x^3 + 23*x^2 + 3*x + 1,(-1601)*x^4 + (13349)*x^3 + (12540)*x^2 + (1478)*x^1 + (460),(-1601) * (x^4 - 13349/1601*x^3 - 12540/1601*x^2 - 1478/1601*x - 460/1601),-1601,13349,12540,1478,460,1,0,A5,2797669449
x^5 - 5*x^4 - 23*x^3 + 10*x^2 + 11*x + 1,(5151)*x^4 + (10805)*x^3 + (-5403)*x^2 + (-5355)*x^1 + (-414),(5151) * (x^4 + 10805/5151*x^3 - 1801/1717*x^2 - 105/101*x - 138/1717),5151,10805,-5403,-5355,-414,1,0,A5,5162566201
x^5 - 5*x^4 - 22*x^3 + x^2 + 9*x + 1,(5146)*x^4 + (12431)*x^3 + (-904)*x^2 + (-4919)*x^1 + (-479),(5146) * (x^4 + 401/166*x^3 - 452/2573*x^2 - 4919/5146*x - 479/5146),5146,12431,-904,-4919,-479,1,0,A5,2125671025
x^5 - 5*x^4 - 13*x^3 + 4*x^2 + 13*x + 1,(2611)*x^4 + (4711)*x^3 + (-1815)*x^2 + (-4497)*x^1 + (-196),(2611) * (x^4 + 673/373*x^3 - 1815/2611*x^2 - 4497/2611*x - 28/373),2611,4711,-1815,-4497,-196,1,0,A5,185313769
x^5 - 5*x^4 - 8*x^3 + 15*x^2 + 13*x + 1,(1236)*x^4 + (895)*x^3 + (-2604)*x^2 + (-1935)*x^1 + (-41),(1236) * (x^4 + 895/1236*x^3 - 217/103*x^2 - 645/412*x - 41/1236),1236,895,-2604,-1935,-41,1,0,A5,435431689
x^5 - 5*x^4 + 19*x^2 - x + 1,(70)*x^4 + (-535)*x^3 + (974)*x^2 + (-71)*x^1 + (-29),(70) * (x^4 - 107/14*x^3 + 487/35*x^2 - 71/70*x - 29/70),70,-535,974,-71,-29,1,0,A5,4214809
x^5 - 5*x^4 + 25*x^2 - 25*x + 1,(250)*x^4 + (-1525)*x^3 + (3200)*x^2 + (-2525)*x^1 + (625),(250) * (x^4 - 61/10*x^3 + 64/5*x^2 - 101/10*x + 5/2),250,-1525,3200,-2525,625,25,0,A5,43890625
x^5 - 5*x^4 + 5*x^3 + 4*x^2 + x + 1,(-35)*x^4 + (25)*x^3 + (99)*x^2 + (-39)*x^1 + (-4),(-35) * (x^4 - 5/7*x^3 - 99/35*x^2 + 39/35*x + 4/35),-35,25,99,-39,-4,1,0,A5,261121
x^5 - 5*x^4 + 7*x^3 + 7*x^2 + 4*x + 1,(-324)*x^4 + (633)*x^3 + (549)*x^2 + (252)*x^1 + (66),(-324) * (x^4 - 211/108*x^3 - 61/36*x^2 - 7/9*x - 11/54),-324,633,549,252,66,3,0,A5,1896129
x^5 - 5*x^4 + 7*x^3 + 8*x^2 + 4*x + 1,(-354)*x^4 + (692)*x^3 + (699)*x^2 + (288)*x^1 + (71),(-354) * (x^4 - 346/177*x^3 - 233/118*x^2 - 48/59*x - 71/354),-354,692,699,288,71,1,0,A5,1779556
x^5 - 5*x^4 + 7*x^3 + 19*x^2 + 22*x + 1,(-954)*x^4 + (1971)*x^3 + (3213)*x^2 + (4032)*x^1 + (594),(-954) * (x^4 - 219/106*x^3 - 357/106*x^2 - 224/53*x - 33/53),-954,1971,3213,4032,594,9,0,A5,6408803025
x^5 - 5*x^4 + 7*x^3 + 21*x^2 + 13*x + 1,(-879)*x^4 + (1774)*x^3 + (4125)*x^2 + (2592)*x^1 + (289),(-879) * (x^4 - 1774/879*x^3 - 1375/293*x^2 - 864/293*x - 289/879),-879,1774,4125,2592,289,1,0,A5,230189584
x^5 - 5*x^4 + 8*x^3 + x^2 + 9*x + 1,(-284)*x^4 + (641)*x^3 + (-34)*x^2 + (331)*x^1 + (121),(-284) * (x^4 - 641/284*x^3 + 17/142*x^2 - 331/284*x - 121/284),-284,641,-34,331,121,1,0,A5,60918025
x^5 - 5*x^4 + 9*x^3 + 15*x^2 + 6*x + 1,(-716)*x^4 + (1925)*x^3 + (2829)*x^2 + (1070)*x^1 + (166),(-716) * (x^4 - 1925/716*x^3 - 2829/716*x^2 - 535/358*x - 83/358),-716,1925,2829,1070,166,1,0,A5,5294601
x^5 - 5*x^4 + 11*x^3 - 12*x^2 + 12*x + 1,(-86)*x^4 + (156)*x^3 + (63)*x^2 + (-236)*x^1 + (179),(-86) * (x^4 - 78/43*x^3 - 63/86*x^2 + 118/43*x - 179/86),-86,156,63,-236,179,1,0,A5,15288100
x^5 - 5*x^4 + 11*x^3 - 12*x^2 + 17*x + 1,(-161)*x^4 + (331)*x^3 + (-7)*x^2 + (-301)*x^1 + (324),(-161) * (x^4 - 331/161*x^3 + 1/23*x^2 + 43/23*x - 324/161),-161,331,-7,-301,324,1,0,A5,137241225
x^5 - 5*x^4 + 12*x^3 - 11*x^2 + 3*x + 1,(-14)*x^4 + (151)*x^3 + (-140)*x^2 + (-37)*x^1 + (69),(-14) * (x^4 - 151/14*x^3 + 10*x^2 + 37/14*x - 69/14),-14,151,-140,-37,69,1,0,A5,162409
x^5 - 5*x^4 + 12*x^3 + 13*x^2 + 19*x + 1,(-974)*x^4 + (3567)*x^3 + (2844)*x^2 + (4323)*x^1 + (541),(-974) * (x^4 - 3567/974*x^3 - 1422/487*x^2 - 4323/974*x - 541/974),-974,3567,2844,4323,541,1,0,A5,6601725001
