polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 6*x^4 - 23*x^3 - x^2 + 5*x + 1,(187/2)*x^6 + (429/2)*x^5 + (1419/2)*x^4 + (231)*x^3 + (264)*x^2 + (165)*x^1 + (55/2),(187/2) * (x^6 + 39/17*x^5 + 129/17*x^4 + 42/17*x^3 + 48/17*x^2 + 30/17*x + 5/17),187/2,429/2,1419/2,231,264,165,55/2,11/2,0,C(5),27071209
x^5 - 6*x^4 - x^3 + 10*x^2 - 6*x + 1,(77/2)*x^6 + (-66)*x^5 + (363/2)*x^4 + (-297)*x^3 + (231)*x^2 + (-165/2)*x^1 + (11),(77/2) * (x^6 - 12/7*x^5 + 33/7*x^4 - 54/7*x^3 + 6*x^2 - 15/7*x + 2/7),77/2,-66,363/2,-297,231,-165/2,11,11/2,0,C(5),14641
x^5 - 6*x^4 + 10*x^3 - x^2 - 6*x + 1,(11)*x^6 + (-165/2)*x^5 + (231)*x^4 + (-297)*x^3 + (363/2)*x^2 + (-66)*x^1 + (77/2),(11) * (x^6 - 15/2*x^5 + 21*x^4 - 27*x^3 + 33/2*x^2 - 6*x + 7/2),11,-165/2,231,-297,363/2,-66,77/2,11/2,0,C(5),14641
x^5 - 5*x^4 - 5*x^3 + 25*x^2 - 10*x + 1,(75/2)*x^6 + (-150)*x^5 + (375)*x^4 + (-625)*x^3 + (1875/2)*x^2 + (-675/2)*x^1 + (75/2),(75/2) * (x^6 - 4*x^5 + 10*x^4 - 50/3*x^3 + 25*x^2 - 9*x + 1),75/2,-150,375,-625,1875/2,-675/2,75/2,25/2,0,C(5),19140625
x^5 - 2*x^4 - 5*x^3 + 2*x^2 + 4*x + 1,(33/2)*x^6 + (0)*x^5 + (-33/2)*x^4 + (11)*x^3 + (66)*x^2 + (99/2)*x^1 + (11),(33/2) * (x^6 - x^4 + 2/3*x^3 + 4*x^2 + 3*x + 2/3),33/2,0,-33/2,11,66,99/2,11,11/2,1,C(5),14641
x^5 - 2*x^4 - 5*x^3 + 13*x^2 - 7*x + 1,(33/2)*x^6 + (-165/2)*x^5 + (363/2)*x^4 + (-253)*x^3 + (231)*x^2 + (-99)*x^1 + (33/2),(33/2) * (x^6 - 5*x^5 + 11*x^4 - 46/3*x^3 + 14*x^2 - 6*x + 1),33/2,-165/2,363/2,-253,231,-99,33/2,11/2,0,C(5),14641
x^5 - 10*x^3 + 5*x^2 + 10*x + 1,(25)*x^6 + (-75/2)*x^5 + (0)*x^4 + (-125)*x^3 + (375/2)*x^2 + (150)*x^1 + (175/2),(25) * (x^6 - 3/2*x^5 - 5*x^3 + 15/2*x^2 + 6*x + 7/2),25,-75/2,0,-125,375/2,150,175/2,25/2,1,C(5),19140625
x^5 + x^4 - 15*x^3 - 14*x^2 + 3*x + 1,(77/2)*x^6 + (165/2)*x^5 + (627/2)*x^4 + (374)*x^3 + (693/2)*x^2 + (99/2)*x^1 + (44),(77/2) * (x^6 + 15/7*x^5 + 57/7*x^4 + 68/7*x^3 + 9*x^2 + 9/7*x + 8/7),77/2,165/2,627/2,374,693/2,99/2,44,11/2,0,C(5),214358881
x^5 + x^4 - 15*x^3 + 19*x^2 - 8*x + 1,(77/2)*x^6 + (-165)*x^5 + (429)*x^4 + (-539)*x^3 + (693/2)*x^2 + (-231/2)*x^1 + (33/2),(77/2) * (x^6 - 30/7*x^5 + 78/7*x^4 - 14*x^3 + 9*x^2 - 3*x + 3/7),77/2,-165,429,-539,693/2,-231/2,33/2,11/2,0,C(5),14641
x^5 + x^4 - 4*x^3 - 3*x^2 + 3*x + 1,(11)*x^6 + (33/2)*x^5 + (-33/2)*x^4 + (-22)*x^3 + (33/2)*x^2 + (33/2)*x^1 + (33/2),(11) * (x^6 + 3/2*x^5 - 3/2*x^4 - 2*x^3 + 3/2*x^2 + 3/2*x + 3/2),11,33/2,-33/2,-22,33/2,33/2,33/2,11/2,0,C(5),14641
x^5 + 3*x^4 - 14*x^3 - 15*x^2 + x + 1,(44)*x^6 + (99/2)*x^5 + (693/2)*x^4 + (374)*x^3 + (627/2)*x^2 + (165/2)*x^1 + (77/2),(44) * (x^6 + 9/8*x^5 + 63/8*x^4 + 17/2*x^3 + 57/8*x^2 + 15/8*x + 7/8),44,99/2,693/2,374,627/2,165/2,77/2,11/2,0,C(5),214358881
x^5 + 3*x^4 - 3*x^3 - 15*x^2 - 10*x + 1,(33/2)*x^6 + (99)*x^5 + (231)*x^4 + (275)*x^3 + (495/2)*x^2 + (495/2)*x^1 + (275/2),(33/2) * (x^6 + 6*x^5 + 14*x^4 + 50/3*x^3 + 15*x^2 + 15*x + 25/3),33/2,99,231,275,495/2,495/2,275/2,11/2,0,C(5),14641
x^5 + 3*x^4 - 3*x^3 - 4*x^2 + x + 1,(33/2)*x^6 + (33/2)*x^5 + (33/2)*x^4 + (-22)*x^3 + (-33/2)*x^2 + (33/2)*x^1 + (11),(33/2) * (x^6 + x^5 + x^4 - 4/3*x^3 - x^2 + x + 2/3),33/2,33/2,33/2,-22,-33/2,33/2,11,11/2,0,C(5),14641
x^5 + 4*x^4 - 9*x^3 - 5*x^2 + 9*x + 1,(77/2)*x^6 + (-33/2)*x^5 + (33/2)*x^4 + (-187)*x^3 + (99)*x^2 + (0)*x^1 + (187/2),(77/2) * (x^6 - 3/7*x^5 + 3/7*x^4 - 34/7*x^3 + 18/7*x^2 + 17/7),77/2,-33/2,33/2,-187,99,0,187/2,11/2,1,C(5),7745089
x^5 + 4*x^4 + 2*x^3 - 5*x^2 - 2*x + 1,(11)*x^6 + (99/2)*x^5 + (66)*x^4 + (11)*x^3 + (-33/2)*x^2 + (0)*x^1 + (33/2),(11) * (x^6 + 9/2*x^5 + 6*x^4 + x^3 - 3/2*x^2 + 3/2),11,99/2,66,11,-33/2,0,33/2,11/2,1,C(5),14641
x^5 + 5*x^4 - 23*x^3 - 23*x^2 + 16*x + 1,(165/2)*x^6 + (0)*x^5 + (726)*x^4 + (473)*x^3 + (2541/2)*x^2 + (-759/2)*x^1 + (627/2),(165/2) * (x^6 + 44/5*x^4 + 86/15*x^3 + 77/5*x^2 - 23/5*x + 19/5),165/2,0,726,473,2541/2,-759/2,627/2,11/2,1,C(5),61348849969
x^5 + 5*x^4 - 12*x^3 - x^2 + 5*x + 1,(55)*x^6 + (-165/2)*x^5 + (297/2)*x^4 + (-176)*x^3 + (33/2)*x^2 + (165/2)*x^1 + (55/2),(55) * (x^6 - 3/2*x^5 + 27/10*x^4 - 16/5*x^3 + 3/10*x^2 + 3/2*x + 1/2),55,-165/2,297/2,-176,33/2,165/2,55/2,11/2,0,C(5),7745089
x^5 + 5*x^4 - x^3 - 23*x^2 - 6*x + 1,(55/2)*x^6 + (165)*x^5 + (264)*x^4 + (231)*x^3 + (1419/2)*x^2 + (429/2)*x^1 + (187/2),(55/2) * (x^6 + 6*x^5 + 48/5*x^4 + 42/5*x^3 + 129/5*x^2 + 39/5*x + 17/5),55/2,165,264,231,1419/2,429/2,187/2,11/2,0,C(5),27071209
x^5 + 5*x^4 - x^3 - 12*x^2 + 5*x + 1,(55/2)*x^6 + (165/2)*x^5 + (33/2)*x^4 + (-176)*x^3 + (297/2)*x^2 + (-165/2)*x^1 + (55),(55/2) * (x^6 + 3*x^5 + 3/5*x^4 - 32/5*x^3 + 27/5*x^2 - 3*x + 2),55/2,165/2,33/2,-176,297/2,-165/2,55,11/2,0,C(5),7745089
x^5 + 9*x^4 - 5*x^3 - 9*x^2 + 4*x + 1,(187/2)*x^6 + (0)*x^5 + (99)*x^4 + (-187)*x^3 + (33/2)*x^2 + (-33/2)*x^1 + (77/2),(187/2) * (x^6 + 18/17*x^4 - 2*x^3 + 3/17*x^2 - 3/17*x + 7/17),187/2,0,99,-187,33/2,-33/2,77/2,11/2,1,C(5),7745089
x^5 + 9*x^4 + 17*x^3 + 2*x^2 - 7*x + 1,(77/2)*x^6 + (429/2)*x^5 + (1023/2)*x^4 + (484)*x^3 + (99/2)*x^2 + (-297/2)*x^1 + (44),(77/2) * (x^6 + 39/7*x^5 + 93/7*x^4 + 88/7*x^3 + 9/7*x^2 - 27/7*x + 8/7),77/2,429/2,1023/2,484,99/2,-297/2,44,11/2,0,C(5),7745089
x^5 + 9*x^4 + 20*x^3 + 5*x^2 - 11*x + 1,(31)*x^6 + (465/2)*x^5 + (1395/2)*x^4 + (868)*x^3 + (465/2)*x^2 + (-465/2)*x^1 + (217/2),(31) * (x^6 + 15/2*x^5 + 45/2*x^4 + 28*x^3 + 15/2*x^2 - 15/2*x + 7/2),31,465/2,1395/2,868,465/2,-465/2,217/2,31/2,0,C(5),23088025
x^5 + 10*x^4 + 5*x^3 - 10*x^2 + 1,(175/2)*x^6 + (150)*x^5 + (375/2)*x^4 + (-125)*x^3 + (0)*x^2 + (-75/2)*x^1 + (25),(175/2) * (x^6 + 12/7*x^5 + 15/7*x^4 - 10/7*x^3 - 3/7*x + 2/7),175/2,150,375/2,-125,0,-75/2,25,25/2,1,C(5),19140625
