polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 3*x^3 + 3*x^2 - 2*x + 1,(25)*x^3 + (5)*x^2 + (-30)*x^1 + (-5),(25) * (x^3 + 1/5*x^2 - 6/5*x - 1/5),25,5,-30,-5,5,0,A4,4225
x^4 + 3*x^3 + 9*x^2 + 4*x + 1,(49)*x^3 + (203)*x^2 + (84)*x^1 + (7),(49) * (x^3 + 29/7*x^2 + 12/7*x + 1/7),49,203,84,7,7,0,A4,17689
x^4 + 3*x^3 + 23*x^2 - 2*x + 1,(265)*x^3 + (1905)*x^2 + (-190)*x^1 + (-5),(265) * (x^3 + 381/53*x^2 - 38/53*x - 1/53),265,1905,-190,-5,5,0,A4,4060225
x^4 + 4*x^3 - 4*x^2 - 12*x + 1,(-32)*x^3 + (208)*x^2 + (352)*x^1 + (128),(-32) * (x^3 - 13/2*x^2 - 11*x - 4),-32,208,352,128,16,0,A4,473344
x^4 + 4*x^3 + 9*x^2 + 3*x + 1,(56)*x^3 + (140)*x^2 + (28)*x^1 + (-7),(56) * (x^3 + 5/2*x^2 + 1/2*x - 1/8),56,140,28,-7,7,0,A4,17689
x^4 + 6*x^3 - 19*x^2 - 3*x + 1,(-648)*x^3 + (2148)*x^2 + (288)*x^1 + (-27),(-648) * (x^3 - 179/54*x^2 - 4/9*x + 1/24),-648,2148,288,-27,3,0,A4,4052169
x^4 + 6*x^3 - 13*x^2 - 2*x + 1,(-512)*x^3 + (1152)*x^2 + (128)*x^1 + (-32),(-512) * (x^3 - 9/4*x^2 - 1/4*x + 1/16),-512,1152,128,-32,32,0,A4,984064
x^4 + 6*x^3 + 5*x^2 - 10*x + 1,(-16)*x^3 + (24)*x^2 + (112)*x^1 + (64),(-16) * (x^3 - 3/2*x^2 - 7*x - 4),-16,24,112,64,8,0,A4,61504
x^4 + 6*x^3 + 5*x^2 - 7*x + 1,(-40)*x^3 + (-12)*x^2 + (64)*x^1 + (13),(-40) * (x^3 + 3/10*x^2 - 8/5*x - 13/40),-40,-12,64,13,1,0,A4,26569
x^4 + 6*x^3 + 11*x^2 - 7*x + 1,(104)*x^3 + (156)*x^2 + (-104)*x^1 + (13),(104) * (x^3 + 3/2*x^2 - x + 1/8),104,156,-104,13,13,0,A4,8281
