polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 13*x^3 + 4*x^2 - 8*x + 1,(-1925)*x^3 + (-420)*x^2 + (1120)*x^1 + (-105),(-1925) * (x - 3/5) * (x^2 + 9/11*x - 1/11),-1925,-420,1120,-105,35,0,C(4),2211125
x^4 + 14*x^3 - 14*x^2 - 6*x + 1,(-3480)*x^3 + (3680)*x^2 + (1400)*x^1 + (-160),(-3480) * (x - 4/3) * (x^2 + 8/29*x - 1/29),-3480,3680,1400,-160,40,0,C(4),11552000
x^4 + 14*x^3 - 6*x^2 - 14*x + 1,(-2968)*x^3 + (1696)*x^2 + (2968)*x^1 + (0),(-2968) * x * (x^2 - 4/7*x - 1),-2968,1696,2968,0,424,1,C(4),38112512
x^4 + 14*x^3 + x^2 - 6*x + 1,(-2640)*x^3 + (-40)*x^2 + (1040)*x^1 + (-160),(-2640) * (x - 1/6) * (x^2 + 2/11*x - 4/11),-2640,-40,1040,-160,40,0,C(4),968000
x^4 + 15*x^3 - 6*x^2 - 15*x + 1,(-3615)*x^3 + (1928)*x^2 + (3615)*x^1 + (0),(-3615) * x * (x^2 - 8/15*x - 1),-3615,1928,3615,0,241,1,C(4),55990084
x^4 + 16*x^3 - 19*x^2 - 4*x + 1,(-5280)*x^3 + (6420)*x^2 + (1200)*x^1 + (-240),(-5280) * (x - 1/8) * (x^2 - 12/11*x - 4/11),-5280,6420,1200,-240,60,0,C(4),17298000
x^4 + 16*x^3 - 9*x^2 - 4*x + 1,(-4640)*x^3 + (2740)*x^2 + (1040)*x^1 + (-240),(-4640) * (x + 3/8) * (x^2 - 28/29*x + 4/29),-4640,2740,1040,-240,20,0,C(4),3362000
x^4 + 16*x^3 - 6*x^2 - 16*x + 1,(-4352)*x^3 + (2176)*x^2 + (4352)*x^1 + (0),(-4352) * x * (x^2 - 1/2*x - 1),-4352,2176,4352,0,2176,1,C(4),80494592
x^4 + 17*x^3 - 6*x^2 - 17*x + 1,(-5185)*x^3 + (2440)*x^2 + (5185)*x^1 + (0),(-5185) * x * (x^2 - 8/17*x - 1),-5185,2440,5185,0,305,1,C(4),113490500
x^4 + 18*x^3 - 6*x^2 - 18*x + 1,(-6120)*x^3 + (2720)*x^2 + (6120)*x^1 + (0),(-6120) * x * (x^2 - 4/9*x - 1),-6120,2720,6120,0,680,1,C(4),157216000
x^4 + 18*x^3 + 11*x^2 - 18*x + 1,(-4896)*x^3 + (-2448)*x^2 + (4896)*x^1 + (0),(-4896) * x * (x^2 + 1/2*x - 1),-4896,-2448,4896,0,2448,1,C(4),101875968
x^4 + 19*x^3 - 6*x^2 - 19*x + 1,(-7163)*x^3 + (3016)*x^2 + (7163)*x^1 + (0),(-7163) * x * (x^2 - 8/19*x - 1),-7163,3016,7163,0,377,1,C(4),214330532
x^4 + 20*x^3 - 6*x^2 - 20*x + 1,(-8320)*x^3 + (3328)*x^2 + (8320)*x^1 + (0),(-8320) * x * (x^2 - 2/5*x - 1),-8320,3328,8320,0,1664,1,C(4),287965184
x^4 + 20*x^3 - 6*x^2 - 7*x + 1,(-8424)*x^3 + (2808)*x^2 + (2808)*x^1 + (-351),(-8424) * (x + 1/2) * (x^2 - 5/6*x + 1/12),-8424,2808,2808,-351,351,0,C(4),14414517
x^4 + 21*x^3 - 6*x^2 - 21*x + 1,(-9597)*x^3 + (3656)*x^2 + (9597)*x^1 + (0),(-9597) * x * (x^2 - 8/21*x - 1),-9597,3656,9597,0,457,1,C(4),381775972
x^4 + 22*x^3 - 11*x^2 - 2*x + 1,(-11600)*x^3 + (5880)*x^2 + (880)*x^1 + (-480),(-11600) * (x - 3/10) * (x^2 - 6/29*x - 4/29),-11600,5880,880,-480,40,0,C(4),968000
x^4 + 22*x^3 - 7*x^2 - 4*x + 1,(-11232)*x^3 + (3744)*x^2 + (1872)*x^1 + (-468),(-11232) * (x - 1/2) * (x^2 + 1/6*x - 1/12),-11232,3744,1872,-468,468,0,C(4),2847312
x^4 + 22*x^3 - 6*x^2 - 22*x + 1,(-11000)*x^3 + (4000)*x^2 + (11000)*x^1 + (0),(-11000) * x * (x^2 - 4/11*x - 1),-11000,4000,11000,0,1000,1,C(4),500000000
x^4 + 23*x^3 - 21*x^2 - 23*x + 1,(-13915)*x^3 + (13915)*x^2 + (13915)*x^1 + (0),(-13915) * x * (x^2 - x - 1),-13915,13915,13915,0,13915,1,C(4),968136125
x^4 + 23*x^3 - 6*x^2 - 23*x + 1,(-12535)*x^3 + (4360)*x^2 + (12535)*x^1 + (0),(-12535) * x * (x^2 - 8/23*x - 1),-12535,4360,12535,0,545,1,C(4),647514500
x^4 + 24*x^3 - 6*x^2 - 24*x + 1,(-14208)*x^3 + (4736)*x^2 + (14208)*x^1 + (0),(-14208) * x * (x^2 - 1/3*x - 1),-14208,4736,14208,0,4736,1,C(4),829898752
x^4 + 25*x^3 - 6*x^2 - 25*x + 1,(-16025)*x^3 + (5128)*x^2 + (16025)*x^1 + (0),(-16025) * x * (x^2 - 8/25*x - 1),-16025,5128,16025,0,641,1,C(4),1053498884
