polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 4*x^3 - 22*x^2 + 20*x + 1,-9792,10560,-2112,-384,192,0,D(4),479232
x^4 - 4*x^3 - 22*x^2 + 20*x + 1,-9728,10880,1792,-384,128,0,D(4),37158912
x^4 - 11*x^3 - 22*x^2 + 20*x + 1,-9672,11160,5208,-279,93,0,D(4),139188357
x^4 - 2*x^3 - 19*x^2 + 20*x + 1,-9504,9108,792,-396,396,0,D(4),15211152
x^4 - 2*x^3 + 14*x^2 + 22*x + 1,-9400,-5920,680,-480,40,0,D(4),-14112000
x^4 - 5*x^3 - 18*x^2 + 20*x + 1,-9400,8680,2200,-375,5,0,D(4),29675525
x^4 + 4*x^3 + 15*x^2 + 22*x + 1,-9360,-6552,-1872,-468,468,0,D(4),-1971216
x^4 + 8*x^3 + 17*x^2 + 22*x + 1,-9216,-7440,-3504,-420,12,0,D(4),-2194416
x^4 - 14*x^3 + 15*x^2 + 22*x + 1,-9216,-5760,5760,-288,288,0,D(4),72410112
x^4 - 10*x^3 + 17*x^2 + 22*x + 1,-9072,-6648,3984,-384,24,0,D(4),6760512
x^4 - 6*x^3 + 2*x^2 + 21*x + 1,-9045,-630,2430,-405,45,0,D(4),706725
x^4 - 4*x^3 - 12*x^2 + 20*x + 1,-8928,5520,1632,-384,48,0,D(4),9199872
x^4 - 9*x^3 + 6*x^2 + 21*x + 1,-8685,-2140,3585,-360,5,0,D(4),12590500
x^4 + 2*x^3 + 23*x^2 + 22*x + 1,-8640,-9120,-960,-480,480,0,D(4),-16358400
x^4 + 8*x^3 + 25*x^2 + 22*x + 1,-8512,-9968,-3248,-420,28,0,D(4),-607600
x^4 - 4*x^3 - 6*x^2 + 20*x + 1,-8448,2688,1536,-384,384,0,D(4),1769472
x^4 - 6*x^3 + 25*x^2 + 22*x + 1,-8400,-9352,2128,-448,56,0,D(4),-35094976
x^4 + 4*x^3 - 4*x^2 + 20*x + 1,-8352,1488,-1824,-384,48,0,D(4),-8955648
x^4 + 9*x^3 + 12*x^2 + 21*x + 1,-8325,-5110,-3705,-360,5,0,D(4),-10799600
x^4 - 4*x^3 - 4*x^2 + 20*x + 1,-8288,1808,1504,-384,16,0,D(4),168192
x^4 + x^3 - 18*x^2 + 19*x + 1,-8235,7740,-585,-360,45,0,D(4),2988900
x^4 - 2*x^3 - 18*x^2 + 19*x + 1,-8211,7854,714,-357,357,0,D(4),11852757
x^4 + 6*x^3 + 16*x^2 + 21*x + 1,-7965,-6300,-2430,-405,45,0,D(4),-313875
x^4 - 6*x^3 - 14*x^2 + 19*x + 1,-7875,6050,2350,-325,25,0,D(4),22203125
x^4 + 6*x^3 - 25*x^2 + 18*x + 1,-7680,10368,-2688,-288,96,0,D(4),3769344
x^4 - 8*x^3 + 4*x^2 + 20*x + 1,-7616,-1232,2912,-336,112,0,D(4),7250432
x^4 - 18*x^3 + 18*x^2 + 21*x + 1,-7605,-5902,6474,-117,13,0,D(4),155346997
x^4 + 6*x^3 - 8*x^2 + 19*x + 1,-7515,2900,-2510,-325,5,0,D(4),-15435475
x^4 + 2*x^3 - 23*x^2 + 18*x + 1,-7504,9480,-976,-320,8,0,D(4),10524224
x^4 - 4*x^3 + 6*x^2 + 20*x + 1,-7488,-2112,1344,-384,192,0,D(4),-5419008
x^4 - 23*x^2 + 18*x + 1,-7488,9552,-144,-324,12,0,D(4),16270992
x^4 + 2*x^3 + 22*x^2 + 21*x + 1,-7429,-7866,-874,-437,437,0,D(4),-12794923
x^4 + 4*x^3 + 8*x^2 + 20*x + 1,-7392,-3120,-1632,-384,48,0,D(4),-1951488
x^4 - x^3 - 4*x^2 + 19*x + 1,-7155,1530,225,-360,45,0,D(4),-3078000
x^4 - 8*x^3 + 11*x^2 + 20*x + 1,-7056,-3612,2688,-336,84,0,D(4),261072
x^4 - 2*x^3 - 17*x^2 + 18*x + 1,-7040,6720,640,-320,320,0,D(4),9113600
x^4 - 7*x^3 - 2*x^2 + 19*x + 1,-6955,988,2431,-312,13,0,D(4),7717892
x^4 + 4*x^3 + 14*x^2 + 20*x + 1,-6912,-4992,-1536,-384,384,0,D(4),-1179648
x^4 - 10*x^3 + 13*x^2 + 20*x + 1,-6880,-4140,3320,-300,20,0,D(4),10250000
x^4 - 13*x^3 + 14*x^2 + 20*x + 1,-6776,-4312,4312,-231,77,0,D(4),40394277
x^4 - 24*x^3 - 15*x^2 + 18*x + 1,-6720,6608,9072,252,28,0,D(4),475387024
x^4 - 2*x^3 - 11*x^2 + 18*x + 1,-6608,4104,592,-320,8,0,D(4),1640000
x^4 - 10*x^3 + 17*x^2 + 20*x + 1,-6560,-5260,3160,-300,20,0,D(4),5490000
x^4 + 8*x^3 + 21*x^2 + 20*x + 1,-6384,-6972,-2688,-336,84,0,D(4),-21168
x^4 - 3*x^3 - 8*x^2 + 18*x + 1,-6384,2940,924,-315,21,0,D(4),1194669
x^4 - 6*x^3 - 8*x^2 + 18*x + 1,-6360,3048,1992,-288,24,0,D(4),9398592
x^4 - 8*x^3 - 22*x^2 + 17*x + 1,-6345,8550,2880,-225,45,0,D(4),58443525
x^4 + 2*x^3 + 21*x^2 + 20*x + 1,-6336,-6732,-792,-396,396,0,D(4),-9879408
x^4 + 4*x^3 - 20*x^2 + 17*x + 1,-6305,7228,-1612,-273,13,0,D(4),37349
x^4 - 9*x^3 + 7*x^2 + 19*x + 1,-6255,-2005,2845,-280,5,0,D(4),8613725
x^4 + 10*x^3 + 23*x^2 + 20*x + 1,-6240,-7500,-3240,-300,60,0,D(4),-1040400
x^4 - 10*x^3 + 21*x^2 + 20*x + 1,-6240,-6252,3000,-300,12,0,D(4),149904
x^4 - 3*x^3 - 6*x^2 + 18*x + 1,-6240,2180,900,-315,5,0,D(4),5125
x^4 - 12*x^3 - 20*x^2 + 17*x + 1,-6177,7772,4292,-145,29,0,D(4),101025125
x^4 - 4*x^3 - 5*x^2 + 18*x + 1,-6160,1848,1232,-308,308,0,D(4),1043504
x^4 - 12*x^3 + 22*x^2 + 20*x + 1,-6144,-6400,3584,-256,256,0,D(4),17825792
