polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 14*x^3 - 3*x^2 + 4*x + 1,(2880)*x^3 + (720)*x^2 + (-720)*x^1 + (-180),(2880) * (x - 1/2) * (x + 1/4) * (x + 1/2),2880,720,-720,-180,180,0,E(4),291600
x^4 - 14*x^3 + 2*x^2 + 14*x + 1,(2520)*x^3 + (0)*x^2 + (-2520)*x^1 + (0),(2520) * (x - 1) * x * (x + 1),2520,0,-2520,0,2520,2,E(4),25401600
x^4 - 14*x^3 + 23*x^2 + 14*x + 1,(1344)*x^3 + (-2016)*x^2 + (-1344)*x^1 + (0),(1344) * (x - 2) * x * (x + 1/2),1344,-2016,-1344,0,672,1,E(4),11289600
x^4 - 13*x^3 + 2*x^2 + 13*x + 1,(1989)*x^3 + (0)*x^2 + (-1989)*x^1 + (0),(1989) * (x - 1) * x * (x + 1),1989,0,-1989,0,1989,2,E(4),15824484
x^4 - 12*x^3 - 16*x^2 + 12*x + 1,(2400)*x^3 + (3600)*x^2 + (-2400)*x^1 + (0),(2400) * (x - 1/2) * x * (x + 2),2400,3600,-2400,0,1200,1,E(4),36000000
x^4 - 12*x^3 - 8*x^2 + 12*x + 1,(2016)*x^3 + (1680)*x^2 + (-2016)*x^1 + (0),(2016) * (x - 2/3) * x * (x + 3/2),2016,1680,-2016,0,336,1,E(4),19079424
x^4 - 12*x^3 - 5*x^2 + 12*x + 1,(1872)*x^3 + (1092)*x^2 + (-1872)*x^1 + (0),(1872) * (x - 3/4) * x * (x + 4/3),1872,1092,-1872,0,156,1,E(4),15210000
x^4 - 12*x^3 + 2*x^2 + 12*x + 1,(1536)*x^3 + (0)*x^2 + (-1536)*x^1 + (0),(1536) * (x - 1) * x * (x + 1),1536,0,-1536,0,1536,2,E(4),9437184
x^4 - 12*x^3 + 12*x^2 + 12*x + 1,(1056)*x^3 + (-880)*x^2 + (-1056)*x^1 + (0),(1056) * (x - 3/2) * x * (x + 2/3),1056,-880,-1056,0,176,1,E(4),5234944
x^4 - 12*x^3 + 20*x^2 + 12*x + 1,(672)*x^3 + (-1008)*x^2 + (-672)*x^1 + (0),(672) * (x - 2) * x * (x + 1/2),672,-1008,-672,0,336,1,E(4),2822400
x^4 - 12*x^3 + 23*x^2 - 12*x + 1,(720)*x^3 + (-1500)*x^2 + (720)*x^1 + (0),(720) * (x - 4/3) * (x - 3/4) * x,720,-1500,720,0,60,1,E(4),176400
x^4 - 12*x^3 + 24*x^2 - 12*x + 1,(672)*x^3 + (-1456)*x^2 + (672)*x^1 + (0),(672) * (x - 3/2) * (x - 2/3) * x,672,-1456,672,0,112,1,E(4),313600
x^4 - 11*x^3 + 2*x^2 + 11*x + 1,(1155)*x^3 + (0)*x^2 + (-1155)*x^1 + (0),(1155) * (x - 1) * x * (x + 1),1155,0,-1155,0,1155,2,E(4),5336100
x^4 - 10*x^3 - 19*x^2 + 10*x + 1,(1680)*x^3 + (3528)*x^2 + (-1680)*x^1 + (0),(1680) * (x - 2/5) * x * (x + 5/2),1680,3528,-1680,0,168,1,E(4),23736384
x^4 - 10*x^3 + 2*x^2 + 10*x + 1,(840)*x^3 + (0)*x^2 + (-840)*x^1 + (0),(840) * (x - 1) * x * (x + 1),840,0,-840,0,840,2,E(4),2822400
x^4 - 10*x^3 + 17*x^2 + 10*x + 1,(240)*x^3 + (-360)*x^2 + (-240)*x^1 + (0),(240) * (x - 2) * x * (x + 1/2),240,-360,-240,0,120,1,E(4),360000
x^4 - 9*x^3 - 22*x^2 + 9*x + 1,(1449)*x^3 + (3864)*x^2 + (-1449)*x^1 + (0),(1449) * (x - 1/3) * x * (x + 3),1449,3864,-1449,0,483,1,E(4),23328900
x^4 - 9*x^3 + 2*x^2 + 9*x + 1,(585)*x^3 + (0)*x^2 + (-585)*x^1 + (0),(585) * (x - 1) * x * (x + 1),585,0,-585,0,585,2,E(4),1368900
x^4 - 8*x^3 - 22*x^2 - 8*x + 1,(1280)*x^3 + (3200)*x^2 + (1280)*x^1 + (0),(1280) * x * (x + 1/2) * (x + 2),1280,3200,1280,0,640,1,E(4),3686400
x^4 - 8*x^3 - 10*x^2 + 8*x + 1,(768)*x^3 + (1152)*x^2 + (-768)*x^1 + (0),(768) * (x - 1/2) * x * (x + 2),768,1152,-768,0,384,1,E(4),3686400
x^4 - 8*x^3 - 7*x^2 + 2*x + 1,(720)*x^3 + (660)*x^2 + (-120)*x^1 + (-60),(720) * (x - 1/3) * (x + 1/4) * (x + 1),720,660,-120,-60,60,0,E(4),176400
x^4 - 8*x^3 - 7*x^2 + 22*x + 1,(560)*x^3 + (980)*x^2 + (-1960)*x^1 + (420),(560) * (x - 1) * (x - 1/4) * (x + 3),560,980,-1960,420,140,0,E(4),29811600
x^4 - 8*x^3 + 2*x^2 + 8*x + 1,(384)*x^3 + (0)*x^2 + (-384)*x^1 + (0),(384) * (x - 1) * x * (x + 1),384,0,-384,0,384,2,E(4),589824
x^4 - 8*x^3 + 20*x^2 - 16*x + 1,(0)*x^3 + (48)*x^2 + (-192)*x^1 + (192),(48) * (x - 2)^2,0,48,-192,192,48,1,E(4),2304
x^4 - 7*x^3 + 2*x^2 + 7*x + 1,(231)*x^3 + (0)*x^2 + (-231)*x^1 + (0),(231) * (x - 1) * x * (x + 1),231,0,-231,0,231,2,E(4),213444
x^4 - 6*x^3 - 22*x^2 - 6*x + 1,(792)*x^3 + (2640)*x^2 + (792)*x^1 + (0),(792) * x * (x + 1/3) * (x + 3),792,2640,792,0,264,1,E(4),4460544
x^4 - 6*x^3 - 17*x^2 - 6*x + 1,(672)*x^3 + (1680)*x^2 + (672)*x^1 + (0),(672) * x * (x + 1/2) * (x + 2),672,1680,672,0,336,1,E(4),1016064
x^4 - 6*x^3 - 15*x^2 - 6*x + 1,(624)*x^3 + (1352)*x^2 + (624)*x^1 + (0),(624) * x * (x + 2/3) * (x + 3/2),624,1352,624,0,104,1,E(4),270400
x^4 - 6*x^3 - 14*x^2 + 6*x + 1,(504)*x^3 + (1344)*x^2 + (-504)*x^1 + (0),(504) * (x - 1/3) * x * (x + 3),504,1344,-504,0,168,1,E(4),2822400
x^4 - 6*x^3 - 7*x^2 + 6*x + 1,(336)*x^3 + (504)*x^2 + (-336)*x^1 + (0),(336) * (x - 1/2) * x * (x + 2),336,504,-336,0,168,1,E(4),705600
x^4 - 6*x^3 - 3*x^2 + 6*x + 1,(240)*x^3 + (200)*x^2 + (-240)*x^1 + (0),(240) * (x - 2/3) * x * (x + 3/2),240,200,-240,0,40,1,E(4),270400
x^4 - 6*x^3 + 2*x^2 + 6*x + 1,(120)*x^3 + (0)*x^2 + (-120)*x^1 + (0),(120) * (x - 1) * x * (x + 1),120,0,-120,0,120,2,E(4),57600
x^4 - 6*x^3 + 11*x^2 + 6*x + 1,(-96)*x^3 + (144)*x^2 + (96)*x^1 + (0),(-96) * (x - 2) * x * (x + 1/2),-96,144,96,0,48,1,E(4),57600
x^4 - 6*x^3 + 13*x^2 - 6*x + 1,(-48)*x^3 + (120)*x^2 + (-48)*x^1 + (0),(-48) * (x - 2) * (x - 1/2) * x,-48,120,-48,0,24,1,E(4),5184
x^4 - 6*x^3 + 18*x^2 - 6*x + 1,(-168)*x^3 + (560)*x^2 + (-168)*x^1 + (0),(-168) * (x - 3) * (x - 1/3) * x,-168,560,-168,0,56,1,E(4),200704
x^4 - 6*x^3 + 18*x^2 + 6*x + 1,(-264)*x^3 + (704)*x^2 + (264)*x^1 + (0),(-264) * (x - 3) * x * (x + 1/3),-264,704,264,0,88,1,E(4),774400
x^4 - 5*x^3 - 22*x^2 + 5*x + 1,(525)*x^3 + (2520)*x^2 + (-525)*x^1 + (0),(525) * (x - 1/5) * x * (x + 5),525,2520,-525,0,105,1,E(4),7452900
x^4 - 5*x^3 + 24*x^2 - 5*x + 1,(-315)*x^3 + (1638)*x^2 + (-315)*x^1 + (0),(-315) * (x - 5) * (x - 1/5) * x,-315,1638,-315,0,63,1,E(4),2286144
x^4 - 4*x^3 - 13*x^2 + 4*x + 1,(240)*x^3 + (900)*x^2 + (-240)*x^1 + (0),(240) * (x - 1/4) * x * (x + 4),240,900,-240,0,60,1,E(4),1040400
x^4 - 4*x^3 - 12*x^2 - 4*x + 1,(288)*x^3 + (720)*x^2 + (288)*x^1 + (0),(288) * x * (x + 1/2) * (x + 2),288,720,288,0,144,1,E(4),186624
x^4 - 4*x^3 - 4*x^2 + 4*x + 1,(96)*x^3 + (144)*x^2 + (-96)*x^1 + (0),(96) * (x - 1/2) * x * (x + 2),96,144,-96,0,48,1,E(4),57600
x^4 - 4*x^3 - 3*x^2 + 14*x + 1,(0)*x^3 + (180)*x^2 + (-360)*x^1 + (180),(180) * (x - 1)^2,0,180,-360,180,180,1,E(4),291600
x^4 - 4*x^3 + 5*x^2 - 2*x + 1,(0)*x^3 + (-12)*x^2 + (24)*x^1 + (-12),(-12) * (x - 1)^2,0,-12,24,-12,12,1,E(4),144
x^4 - 4*x^3 + 8*x^2 - 4*x + 1,(-32)*x^3 + (80)*x^2 + (-32)*x^1 + (0),(-32) * (x - 2) * (x - 1/2) * x,-32,80,-32,0,16,1,E(4),2304
x^4 - 4*x^3 + 8*x^2 + 4*x + 1,(-96)*x^3 + (144)*x^2 + (96)*x^1 + (0),(-96) * (x - 2) * x * (x + 1/2),-96,144,96,0,48,1,E(4),57600
x^4 - 4*x^3 + 15*x^2 - 4*x + 1,(-144)*x^3 + (612)*x^2 + (-144)*x^1 + (0),(-144) * (x - 4) * (x - 1/4) * x,-144,612,-144,0,36,1,E(4),291600
x^4 - 4*x^3 + 17*x^2 + 4*x + 1,(-240)*x^3 + (900)*x^2 + (240)*x^1 + (0),(-240) * (x - 4) * x * (x + 1/4),-240,900,240,0,60,1,E(4),1040400
x^4 - 3*x^3 - 12*x^2 - 3*x + 1,(195)*x^3 + (650)*x^2 + (195)*x^1 + (0),(195) * x * (x + 1/3) * (x + 3),195,650,195,0,65,1,E(4),270400
x^4 - 3*x^3 + 2*x^2 + 3*x + 1,(-21)*x^3 + (0)*x^2 + (21)*x^1 + (0),(-21) * (x - 1) * x * (x + 1),-21,0,21,0,21,2,E(4),1764
x^4 - 3*x^3 + 8*x^2 - 3*x + 1,(-45)*x^3 + (150)*x^2 + (-45)*x^1 + (0),(-45) * (x - 3) * (x - 1/3) * x,-45,150,-45,0,15,1,E(4),14400
x^4 - 3*x^3 + 10*x^2 + 3*x + 1,(-117)*x^3 + (312)*x^2 + (117)*x^1 + (0),(-117) * (x - 3) * x * (x + 1/3),-117,312,117,0,39,1,E(4),152100
x^4 - 2*x^3 - 22*x^2 - 22*x + 1,(360)*x^3 + (1920)*x^2 + (2040)*x^1 + (480),(360) * (x + 1/3) * (x + 1) * (x + 4),360,1920,2040,480,120,0,E(4),6969600
x^4 - 2*x^3 - 15*x^2 + 16*x + 1,(0)*x^3 + (1008)*x^2 + (-1008)*x^1 + (252),(1008) * (x - 1/2)^2,0,1008,-1008,252,252,1,E(4),5143824
x^4 - 2*x^3 - 7*x^2 - 2*x + 1,(80)*x^3 + (200)*x^2 + (80)*x^1 + (0),(80) * x * (x + 1/2) * (x + 2),80,200,80,0,40,1,E(4),14400
x^4 - 2*x^3 - 7*x^2 + 8*x + 1,(0)*x^3 + (240)*x^2 + (-240)*x^1 + (60),(240) * (x - 1/2)^2,0,240,-240,60,60,1,E(4),176400
x^4 - 2*x^3 + 2*x^2 + 2*x + 1,(-24)*x^3 + (0)*x^2 + (24)*x^1 + (0),(-24) * (x - 1) * x * (x + 1),-24,0,24,0,24,2,E(4),2304
x^4 - 2*x^3 + 5*x^2 - 4*x + 1,(0)*x^3 + (48)*x^2 + (-48)*x^1 + (12),(48) * (x - 1/2)^2,0,48,-48,12,12,1,E(4),144
x^4 - 2*x^3 + 5*x^2 + 2*x + 1,(-48)*x^3 + (72)*x^2 + (48)*x^1 + (0),(-48) * (x - 2) * x * (x + 1/2),-48,72,48,0,24,1,E(4),14400
