polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 25*x^3 + 4*x^2 - 25*x + 1,15425,-3702,15425,0,617,1,D(4),-938017696
x^4 - 25*x^3 + 4*x^2 + 25*x + 1,-15025,-1202,15025,0,601,1,D(4),904447304
x^4 - 25*x^3 + 5*x^2 - 25*x + 1,15325,-4291,15325,0,613,1,D(4),-921009819
x^4 - 25*x^3 + 5*x^2 + 25*x + 1,-14925,-1791,14925,0,597,1,D(4),894230181
x^4 - 25*x^3 + 6*x^2 - 25*x + 1,15225,-4872,15225,0,609,1,D(4),-903466116
x^4 - 25*x^3 + 6*x^2 + 25*x + 1,-14825,-2372,14825,0,593,1,D(4),884748884
x^4 - 25*x^3 + 7*x^2 - 25*x + 1,15125,-5445,15125,0,605,1,D(4),-885414475
x^4 - 25*x^3 + 7*x^2 + 25*x + 1,-14725,-2945,14725,0,2945,1,D(4),875975525
x^4 - 25*x^3 + 8*x^2 - 25*x + 1,15025,-6010,15025,0,3005,1,D(4),-866882400
x^4 - 25*x^3 + 8*x^2 - 10*x + 1,880,-1060,1780,525,5,0,D(4),-45511875
x^4 - 25*x^3 + 8*x^2 - x + 1,169,182,-767,624,13,0,D(4),-8955648
x^4 - 25*x^3 + 8*x^2 + 25*x + 1,-14625,-3510,14625,0,585,1,D(4),867882600
x^4 - 25*x^3 + 9*x^2 - 25*x + 1,14925,-6567,14925,0,597,1,D(4),-847897011
x^4 - 25*x^3 + 9*x^2 + 25*x + 1,-14525,-4067,14525,0,581,1,D(4),860442989
x^4 - 25*x^3 + 10*x^2 - 25*x + 1,14825,-7116,14825,0,593,1,D(4),-828485044
x^4 - 25*x^3 + 10*x^2 + 25*x + 1,-14425,-4616,14425,0,577,1,D(4),853629956
x^4 - 25*x^3 + 11*x^2 - 25*x + 1,14725,-7657,14725,0,589,1,D(4),-808672851
x^4 - 25*x^3 + 11*x^2 + 25*x + 1,-14325,-5157,14325,0,573,1,D(4),847417149
x^4 - 25*x^3 + 12*x^2 - 25*x + 1,14625,-8190,14625,0,585,1,D(4),-788486400
x^4 - 25*x^3 + 12*x^2 - 5*x + 1,85,10,-535,600,5,0,D(4),-3190000
x^4 - 25*x^3 + 12*x^2 + 25*x + 1,-14225,-5690,14225,0,2845,1,D(4),841778600
x^4 - 25*x^3 + 13*x^2 - 25*x + 1,14525,-8715,14525,0,2905,1,D(4),-767951275
